1	Citroen Berlingo 	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2	Citroen Dispatch	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
3	Ford Crew Cab	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
4	Ford Transit Custom	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
5	Ford Transit Custom High	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
6	Ford Transit L3H3	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
7	Ford Transit Luton	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
8	Hyundai Tucson	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
9	Kia Niro	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
10	Mercedes Citan	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
11	Mercedes Sprinter	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
12	Mercedes Sprinter 3.9	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
13	Mercedes Sprinter 4.2	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
14	Mercedes Tipper	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
15	Mitsubishi L200 Warrior	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
16	Peugeot Boxer  	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
17	Peugeot Partner  	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
18	Renault Kangoo	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
19	Scania Vactor	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
20	Toyota Proace	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
21	Toyota Proace L 	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
22	Vauxhall Combo	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
23	Vauxhall Movano	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
24	Vauxhall Vivaro	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
25	Vauxhall Vivaro 6 Seat	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
26	Volkswagen Crafter L3H3	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
27	Volkswagen Transporter	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
28	Volkswagen Transporter 6 Seat	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
