Type*	Category*	Sub category*	Odometer setting*	Usage*	Manufacturer*	Model*	Bodybuilder	Gross vehicle weight	Tyre size drive	Tyre size steer	Tyre pressure drive	Tyre pressure steer	Nut size	Re-torque	Length (mm)	Width (mm)	Height (mm)	Fuel type*	Type of engine*	Engine size (cc)	Oli grade	CO2 (g/km)	Monthly vehicle tax	Compressor service interval	Invertor service interval	LOLER test interval	PMI interval	PTO service interval	Service interval type	Distance	Time
Citroen Berlingo 	Non-HGV	Van	Miles	Commercial	Citroen	Berlingo												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Citroen Dispatch	Non-HGV	Van	Miles	Commercial	Citroen	Dispatch												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Ford Crew Cab	Non-HGV	Van	Miles	Commercial	Ford	Crew Cab												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Ford Transit Custom	Non-HGV	Van	Miles	Commercial	Ford	Transit Custom												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Ford Transit Custom High	Non-HGV	Van	Miles	Commercial	Ford 	Transit Custom High												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Ford Transit L3H3	Non-HGV	Van	Miles	Commercial	Ford	Transit L3H3												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Ford Transit Luton	Non-HGV	Van	Miles	Commercial	Ford	Transit Luton												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Hyundai Tucson	Non-HGV	Car	Miles	Commercial	Hyundai	Tucson												Unleaded petrol	Petrol										Distance	12,000	
Kia Niro	Non-HGV	Car	Miles	Commercial	Kia	Niro												Hybrid/Petrol	Hybrid petrol/EV										Distance	12,000	
Mercedes Citan	Non-HGV	Van	Miles	Commercial	Mercedes	Citan												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Mercedes Sprinter	Non-HGV	Van	Miles	Commercial	Mercedes	Sprinter												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Mercedes Sprinter 3.9	Non-HGV	Van	Miles	Commercial	Mercedes	Sprinter 3.9												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Mercedes Sprinter 4.2	Non-HGV	Van	Miles	Commercial	Mercedes	Sprinter 4.2												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Mercedes Tipper	Non-HGV	Van	Miles	Commercial	Mercedes	Tipper												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Mitsubishi L200 Warrior	Non-HGV	Van	Miles	Commercial	Mitsubishi 	L200 Warrior												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Peugeot Boxer  	Non-HGV	Van	Miles	Commercial	Peugeot  	Boxer  												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Peugeot Partner  	Non-HGV	Van	Miles	Commercial	Peugeot  	Partner  												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Renault Kangoo	Non-HGV	Van	Miles	Commercial	Renault	Kangoo												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Scania Vactor	HGV	None	KM	Commercial	Scania	Vactor												Diesel	Euro VI diesel (Adblue)								6 weeks		Distance	12,000	
Toyota Proace	Non-HGV	Van	Miles	Commercial	Toyota	Proace												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Toyota Proace L 	Non-HGV	Van	Miles	Commercial	Toyota	Proace L												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Vauxhall Combo	Non-HGV	Van	Miles	Commercial	Vauxhall	Combo												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Vauxhall Movano	Non-HGV	Van	Miles	Commercial	Vauxhall	Movano												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Vauxhall Vivaro	Non-HGV	Van	Miles	Commercial	Vauxhall	Vivaro												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Vauxhall Vivaro 6 Seat	Non-HGV	Van	Miles	Commercial	Vauxhall	Vivaro 6 Seat												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Volkswagen Crafter L3H3	Non-HGV	Van	Miles	Commercial	Volkswagen	Crafter L3H3												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Volkswagen Transporter	Non-HGV	Van	Miles	Commercial	Volkswagen	Transporter												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
Volkswagen Transporter 6 Seat	Non-HGV	Van	Miles	Commercial	Volkswagen	Transporter 6 Seat												Diesel	Euro VI diesel (Adblue)										Distance	12,000	
