id	order	page_title	app_question	app_question_with_defect	defect	defect_order	has_image	has_text	is_prohibitional	safety_notes	for_hgv	for_non-hgv
1	0	Check Your Vehicle's Levels	Turn on ignition and make sure that your vehicle's levels are sufficient	Turn on ignition and make sure that your vehicle's levels are sufficient	Engine oil (top up as required)	0	0	0	0	N/A	1	1
2	0	Check Your Vehicle's Levels	Turn on ignition and make sure that your vehicle's levels are sufficient	Turn on ignition and make sure that your vehicle's levels are sufficient	Coolant (top up as required)	0	0	0	0	N/A	1	1
3	0	Check Your Vehicle's Levels	Turn on ignition and make sure that your vehicle's levels are sufficient	Turn on ignition and make sure that your vehicle's levels are sufficient	Screenwash (use water if necessary)	0	0	0	0	N/A	1	1
4	0	Check Your Vehicle's Levels	Turn on ignition and make sure that your vehicle's levels are sufficient	Turn on ignition and make sure that your vehicle's levels are sufficient	AdBlue (top up as required)	0	0	0	0	N/A	1	1
5	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Anti-locking braking system (Amber)	0	1	0	1	Roadworthy but needs workshop visit	1	1
6	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Anti-locking braking system (Red)	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
7	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Battery (Amber)	0	1	0	1	Roadworthy but needs workshop visit	1	1
8	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Battery (Red)	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
9	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Brakes (Amber)	0	1	0	1	Roadworthy but needs workshop visit	1	1
10	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Brakes (Red)	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
11	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Differential lock (Amber)	0	1	0	1	Roadworthy but needs workshop visit	1	1
12	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Differential lock (Red)	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
13	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Electronic braking system (Amber)	0	1	0	1	Roadworthy but needs workshop visit	1	1
14	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Electronic braking system (Red)	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
15	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Electronic stability programme (Amber)	0	1	0	1	Roadworthy but needs workshop visit	1	1
16	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Electronic stability programme (Red)	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
17	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Engine management light (Amber)	0	1	0	1	Roadworthy but needs workshop visit	1	1
18	1	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Engine management light (Red)	0	1	0	1	Not roadworthy vehicle must be VOR	1	1
