1	18t Crane Lorry	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,24,25,26,27,28,29,31,32,33,34,50,51,52,53
2	18t Tipper - Daf	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
3	18t Tipper - Volvo	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
4	4x4 - Defender 110	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
5	4x4 - Defender 90	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
6	4x4 - Discovery Car	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
7	4x4 - Landcruiser	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
8	4x4 - Range Rover	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
9	6x2 Daf Artic	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
10	6x2 Volvo Artic	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
11	7.5t Asphalt - Iveco	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
12	7.5t Box - Isuzu	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
13	7.5t Box - Iveco	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
14	7.5t Dropside - Isuzu	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
15	7.5t Tipper - Daf	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
16	7.5t Tipper - Isuzu V	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
17	7.5t Tipper - Isuzu VI	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
18	8x2 Beavertail	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
19	8x4 Tipper Grab - Arocs	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
20	8x4 Tipper Grab - Daf	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
21	8x4 Tipper Grab - Econic	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
22	8x4 Tipper Grab - Volvo	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
23	Car - Citreon	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
