Registration*	Date added to fleet*	Type*	Last Odometer Reading	Vehicle status*	Usage override*	Telematics*	Ownership status*	Nominated driver	Registration date	First use inspection date	Vehicle lease expiry date	P11D list price or benefit charge	Chassis number / VIN	Contract ID		Vehicle division*	Vehicle region*	Vehicle location		Repair/Maintenance location	Annual service date	Compressor service date	Invertor service date	LOLER test date	Maintenance expiry date	MOT expiry date	Next service date	Next service distance	First PMI date	Next service	Next PMI date	PTO service date	PTO service date	Taco calibration date	Tax expiry date		Installation Address	Contact Name	Contact Number	Contact Email Address	Driver ID
BC16JYD	05/08/16	Panel Van - Sprinter		Roadworthy	Non-commercial	Yes	Leased		31/07/16				218339			Ferns Surfacing	Ferns Surfacing	TW Leabridge		Ferns Ford Lane Workshop																					
BF68GBZ	19/11/18	Hotbox - Daf		Roadworthy	Commercial	Yes	Hire purchase		31/10/18				L479651			Ferns Surfacing	Ferns Surfacing	UKPN Downham Market		Dave Reynor Commericals																					
KY21FZG	01/11/21	6x2 Daf Artic		Roadworthy	Commercial	Yes	Contract		20/04/21				XLRTGH4300G336530			Ferns Aggregates	Ferns Aggregates	Wrotham Quarry Haulage		Channel Commercials Strood						4/30/2023															
KY21FZH	01/11/21	6x2 Daf Artic		Roadworthy	Commercial	Yes	Contract		20/04/21				XLRTGH4300G336447			Ferns Aggregates	Ferns Aggregates	Wrotham Quarry Haulage		Channel Commercials Strood																					
GJ18HWV	01/11/21	6x2 Volvo Artic 		Roadworthy	Commercial	Yes	Contract		17/04/18				2RT40CXJB863142			Ferns Aggregates	Ferns Aggregates	Wrotham Quarry Haulage		MCTB Aylesford																					
GK19AZR	01/11/21	6x2 Volvo Artic 		Roadworthy	Commercial	Yes	Contract		10/03/19				RT40C7KB900049			Ferns Aggregates	Ferns Aggregates	Wrotham Quarry Haulage		MCTB Aylesford																					
GK19AZT	01/11/21	6x2 Volvo Artic 		Roadworthy	Commercial	Yes	Contract		10/03/19				YV2RT40C4KA842939			Ferns Aggregates	Ferns Aggregates	Wrotham Quarry Haulage		MCTB Aylesford																					
GK19AZU	01/11/21	6x2 Volvo Artic 		Roadworthy	Commercial	Yes	Contract		10/03/19				YV2RT40C4KA842939			Ferns Aggregates	Ferns Aggregates	Wrotham Quarry Haulage		MCTB Aylesford																					
GK19YDO	01/11/21	6x2 Volvo Artic 		Roadworthy	Commercial	Yes	Contract		10/03/19				RT40C7KB911441			Ferns Aggregates	Ferns Aggregates	Wrotham Quarry Haulage		MCTB Aylesford																					
GN67UVR	01/11/21	6x2 Volvo Artic 		Roadworthy	Commercial	Yes	Contract		01/09/17				YV2RT40A3HB832792			Ferns Aggregates	Ferns Aggregates	Wrotham Quarry Haulage		MCTB Aylesford																					
