Type*	Category*	Sub category*	Odometer setting*	Usage*	Manufacturer*	Model*	Bodybuilder	Gross vehicle weight	Tyre size drive	Tyre size steer	Tyre pressure drive	Tyre pressure steer	Nut size	Re-torque	Length (mm)	Width (mm)	Height (mm)	Fuel type*	Type of engine*	Engine size (cc)	Oli grade	CO2 (g/km)	Monthly vehicle tax	Compressor service interval	Invertor service interval	LOLER test interval	PMI interval	PTO service interval	Service interval type	Distance	Time
DAF CF 44T	HGV		KM	Commercial	DAF	CF		44000										Diesel	Euro VI diesel (Adblue)								6 weeks				
DAF LF 12T (V)	HGV		KM	Commercial	DAF	LF	NTM	12000										Diesel	Euro V diesel							12 months	6 weeks				
DAF LF 12T (VI)	HGV		KM	Commercial	DAF	LF	NTM	12000										Diesel	Euro VI diesel (Adblue)							12 months	6 weeks				
DAF LF 15T	HGV		KM	Commercial	DAF	LF	NTM	15000										Diesel	Euro VI diesel (Adblue)							12 months	6 weeks				
ISUZU N75 0m	HGV		KM	Commercial	ISUZU	N75	Solent	7500										Diesel	Euro VI diesel (Adblue)								10 weeks				
ISUZU N75 12m	HGV		KM	Commercial	ISUZU	N75	Solent	7500										Diesel	Euro VI diesel (Adblue)							12 months	10 weeks				
ISUZU N75 6m	HGV		KM	Commercial	ISUZU	N75	Solent	7500										Diesel	Euro VI diesel (Adblue)							6 months	10 weeks				
IVECO Daily	Non-HGV	Van	KM	Commercial	IVECO	Daily	Solent	3500										Diesel	Euro VI diesel (Adblue)										Time		12 months
Mercedes Econic	HGV		KM	Commercial	Mercedes	Econic	Faun	18000										Diesel	Euro VI diesel (Adblue)							12 months	6 weeks				
Mercedes eVito	Non-HGV	Van	KM	Commercial	Mercedes	eVito		3500										EV	EV										Time		12 months
Mercedes Sprinter	Non-HGV	Van	KM	Commercial	Mercedes	Sprinter 		3500										Diesel	Euro VI diesel (Adblue)										Time		12 months
Nissan eNV 200	Non-HGV	Van	KM	Commercial	Nissan	eNV 200		3500										EV	EV										Time		12 months
Peugeot Boxer	Non-HGV	Van	KM	Commercial	Peugeot 	Boxer	Maxie	3500										Diesel	Euro VI diesel (Adblue)										Time		12 months
VW Crafter	Non-HGV	Van	KM	Commercial	VW	Crafter	Solent	3500										Diesel	Euro VI diesel (Adblue)										Time		12 months
BMI Trailer	Non-HGV	None	KM	Commercial	BMI	Trailer												NA	NA								10 weeks				
