Asset number*	Date asset added*	Asset profile*	Odometer (KM/Miles)	Asset status*	Ownership status*	Registration date	Replacement date	Asset availability*	NRMM compliant*	EU type approval number	Asset division*	Asset region*	Asset location	Repair/Maintenance location	ADR test date	MOT expiry date	First PMI Date	Next PMI date	Rubber integrity test date	Next regular check date	Service date	Tank test date
A02	01/01/1989	Amines Tank 		VOR	Owned			Out for repair	NA		Transport 	West Thurrock 		ICL - West thurrock 								
BT1	01/01/2003	Powder tank		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 		30/04/2023	30/08/2022					20/04/2023
BT4	01/01/2015	Powder tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 		31/12/2022	05/09/2022					26/09/2023
BT5	01/01/2003	Powder tank		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 		31/03/2023	15/08/2022					06/09/2023
CP1	01/01/2003	Curtain Sider 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 		31/01/2023	23/08/2022					
F3	01/01/2003	Low Loader 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 		31/12/2022	07/09/2022					
F44	01/01/2003	Curtain Sider 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 		30/09/2022	02/08/2022					
HYP1	01/01/2011	HYPO Tank 		VOR	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 								
HYP2	01/01/2011	HYPO Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	09/02/2023	28/02/2023	06/09/2022					10/01/2023
HYP3	01/01/2011	HYPO Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	06/10/2022	31/10/2022	07/09/2022					25/09/2023
HYP4	01/01/2011	HYPO Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	27/08/2022	31/08/2022	05/09/2022					25/09/2023
HYP5	01/01/2012	HYPO Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	10/01/2023	31/01/2023	01/08/2022					16/11/2023
HYP6	01/01/2012	HYPO Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	27/01/2023	31/01/2023	23/08/2022					20/10/2023
HYP7	01/01/2012	HYPO Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	23/03/2023	31/03/2023	02/09/2022					11/10/2023
HYP8	01/01/2005	HYPO Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	09/11/2022	30/11/2022	04/08/2022					10/12/2024
HYP9	01/01/2006	HYPO Tank 		VOR	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	17/03/2023	31/03/2023	02/09/2022					18/01/2025
HYP10	01/01/2005	HYPO Tank 		VOR	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	19/02/2023	28/02/2023	05/09/2022					18/01/2025
HYP11	01/01/2017	HYPO Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	15/08/2022	30/09/2022	19/08/2022					22/03/2023
HYP12	01/01/2017	HYPO Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	06/10/2022	31/10/2022	01/08/2022					13/04/2023
HYP13	01/01/2017	HYPO Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	31/10/2022	31/10/2022	29/08/2022					06/04/2023
HYP14	01/01/2017	HYPO Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	16/09/2022	30/09/2022	17/08/2022					06/07/2023
HYP15	01/01/2011	HYPO Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	13/08/2022	31/08/2022	09/08/2022					24/02/2024
RL2	01/01/2005	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	31/03/2023	31/03/2023	02/08/2022					25/06/2023
RL3	01/01/2005	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	05/03/2023	31/03/2023	22/08/2022					28/02/2025
RL4	01/01/2005	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	21/09/2022	30/09/2022	15/08/2022					25/08/2023
RL5	01/01/2005	Rubber Lined Tank 		VOR	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	13/03/2023	31/03/2023	24/08/2022					16/09/2023
RL10	01/01/2011	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	23/03/2023	30/04/2023	02/08/2022					23/03/2023
RL11	01/01/2011	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	13/03/2023	31/03/2023	23/08/2022					15/02/2025
RL12	01/01/2011	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	20/01/2023	31/01/2023	08/08/2022					07/06/2022
RL13	01/01/2011	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	22/08/2022	31/08/2022	07/09/2022					09/03/2023
RL15	01/01/2011	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	03/10/2022	31/10/2022	31/08/2022					06/11/2023
RL16	01/01/2011	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	03/10/2022	31/01/2023	25/08/2022					10/05/2025
RL17	01/01/2011	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	26/11/2022	30/11/2022	05/09/2022					23/03/2023
RL18	01/01/2017	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	19/12/2022	28/02/2023	29/08/2022					19/09/2022
RL19	01/01/2017	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	07/02/2023	28/02/2023	06/09/2022					01/03/2023
RL20	01/01/2017	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	03/09/2022	30/09/2022	25/08/2022					18/12/2022
RL21	01/01/2017	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	01/03/2023	31/03/2023	18/08/2022					01/03/2023
RL22	01/01/2017	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	24/02/2023	28/02/2023	10/08/2022					08/03/2023
RL24	01/01/2017	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	12/10/2022	31/10/2022	03/08/2022					16/07/2023
RL25	01/01/2017	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	04/10/2022	31/10/2022	11/08/2022					23/03/2023
RL26	01/01/2017	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	08/11/2022	31/11/22	07/09/2022					28/07/2023
RL27	01/01/2017	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	18/10/2022	31/10/2022	19/08/2022					04/08/2023
RL28	01/01/1998	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 		31/03/2023	17/08/2022					13/11/2023
RL29	01/01/1998	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 		28/02/2023	06/09/2022					15/07/2023
RL30	01/01/2012	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	15/08/2022	31/08/2022	24/08/2022					21/08/2024
RL31	01/01/2012	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	30/11/2022	31/12/2022	11/08/2022					02/11/2024
RL32	01/01/2012	Rubber Lined Tank 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	21/04/2022	30/09/2022	08/09/2022					21/01/2025
SK1/ISOST51	01/01/2007	Skelly 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	04/11/2022	30/11/2022	08/09/2022					
SK2/ISOST52	01/01/2008	Skelly 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	29/10/2022	30/11/2022	26/08/2022					
SK3/ISOST53	01/01/2013	Skelly 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	10/12/2022	31/12/2022	30/08/2022					
SK4/ISOST54	01/01/2017	Skelly 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	01/03/2023	31/03/2023	16/08/2022					
SK5/ISOST55	01/01/2017	Skelly 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	07/03/2023	31/03/2023	25/08/2022					
SK6/ISOST56	01/01/2014	Skelly 		Roadworthy	Owned			Available	NA		Transport 	West Thurrock 		ICL - West thurrock 	24/03/2023	31/03/2023	01/09/2022					
