Registration*	Date added to fleet*	Type*	Odometer (KM/Miles)	Vehicle status*	Usage override*	Telematics*	Ownership status*	Nominated driver	Registration date	First use inspection date	Vehicle lease expiry date	P11D list price or benefit charge	Chassis number	Contract ID		Vehicle division*	Vehicle region*	Vehicle location		Repair/Maintenance location	Annual service date	Compressor service date	Invertor service date	LOLER test date	Maintenance expiry date	MOT expiry date	Next service date	Next service distance	First PMI date	Next PMI date	PTO service date	Taco calibration date	Tax expiry date
EU15ZPR	01/08/2021	Man Unit		Roadworthy	Commercial	Yes	Owned									Transport 	West Thurrock 			ICL - West thurrock 						31/01/2022				09/08/2021		27/08/2022	01/06/2022
EU15ZPT	01/08/2021	Man Unit		Roadworthy	Commercial	Yes	Owned									Transport 	West Thurrock 			ICL - West thurrock 						28/02/2022				03/09/2021		05/02/2023	01/06/2011
EX68BXG	01/08/2021	Man Unit		Roadworthy	Commercial	Yes	Contract									Transport 	Hebburn			MAN - Gateshead						30/09/2021				12/08/2021		17/12/2022	01/02/2022
EX68BXH	01/08/2021	Man Unit		Roadworthy	Commercial	Yes	Contract									Transport 	Hebburn			MAN - Gateshead						31/10/2021				09/08/2021		12/01/2023	01/02/2022
EX68BXJ	01/08/2021	Man Unit		Roadworthy	Commercial	Yes	Contract									Transport 	Hebburn			MAN - Gateshead						31/10/2021				11/08/2021		11/01/2023	01/02/2022
EX68BXK	01/08/2021	Man Unit		Roadworthy	Commercial	Yes	Contract									Transport 	Newport			Commercial Motors - Man 						30/11/2021				15/06/2021		22/01/2023	01/02/2022
EX68BXL	01/08/2021	Man Unit		Roadworthy	Commercial	Yes	Contract									Transport 	Hebburn			MAN - Gateshead						31/12/2021				10/08/2021		19/01/2023	01/02/2022
EX68BXM	01/08/2021	Man Unit		Roadworthy	Commercial	Yes	Contract									Transport 	Hebburn			MAN - Gateshead						31/10/2021				06/08/2021		07/01/2023	01/02/2022
EX68BXN	01/08/2021	Man Unit		Roadworthy	Commercial	Yes	Contract									Transport 	Widnes			Pullman - Ellesmere Port 						31/10/2021				06/08/2021		04/03/2022	01/02/2022
EX68BXO	01/08/2021	Man Unit		Roadworthy	Commercial	Yes	Contract									Transport 	Hebburn			MAN - Gateshead						30/11/2021				03/08/2021		07/01/2023	01/02/2022
EX68BXP	01/08/2021	Man Unit		Roadworthy	Commercial	Yes	Contract									Transport 	Widnes			Pullman - Ellesmere Port 						31/12/2021				19/08/2021		18/01/2023	01/02/2022
