Vehicle Profile,"Registration,Type,Category,Sub Category,Manufacturer,Model,Fuel Type,Type Of Engine,Vehicle Division,Vehicle Region,Chassis Number,Contract ID,Email,First Name,Last Name,Engineer ID,Mobile,Company,User Division,User Region"
Vehicle Journey,"Registration,Type,Category,Sub Category,Vehicle Division,Vehicle Region,Journey Start Date,Journey Start Time,Journey Duration(HH:MM:SS),Journey Distance(Miles),Email,First Name,Last Name,Engineer ID,Mobile,Company,User Division,User Region"
Vehicle Incident,"Registration,Type,Category,Sub Category,Vehicle Division,Vehicle Region,Incident Date,Incident Type,Email,First Name,Last Name,Engineer ID,Mobile,Company,User Division,User Region,Speed Limit(MPH),Vehicle Speed(MPH)"
Vehicle Behaviour,"Registration,Type,Category,Sub Category,Vehicle Division,Vehicle Region,Vehicle Safety Score,Vehicle Efficiency Score,Vehicle Overall Score,Email,First Name,Last Name,Engineer ID,Mobile,Company,User Division,User Region"
Vehicle Defects,"Registration,Type,Category,Sub Category,Vehicle Division,Vehicle Region,Email,First Name,Last Name,Engineer ID,Mobile,Company,User Division,User Region,Defect Date,Defect Category,Defect Name"
Vehicle Checks,"Registration,Type,Category,Sub Category,Vehicle Division,Vehicle Region,Email,First Name,Last Name,Engineer ID,Mobile,Company,User Division,User Region,Check Type,Check Result,Last Check Date,Check Duration"
Vehicle Planning,"Registration,Type,Category,Sub Category,Vehicle Division,Vehicle Region,Service Type,Service Date,Email,First Name,Last Name,Engineer ID,Mobile,Company,User Division"
User Details,"Email,First Name,Last Name,Created Date,Engineer ID,Mobile,Landline,Company,Dallas Key,IMEI Number,Base location,User Division,User Region,Registration,Type,Category,Sub Category,Vehicle Division,Vehicle Region"
User Journey,"Email,First Name,Last Name,Engineer ID,Mobile,Company,User Division,User Region,Registration,Type,Category,Sub Category,Vehicle Division,Vehicle Region,Journey Start Date,Journey Start Time,Journey Duration(HH:MM:SS),Journey Distance(Miles)"
User Incident,"Email,First Name,Last Name,Engineer ID,Mobile,Company,User Division,User Region,Registration,Type,Category,Sub Category,Vehicle Division,Vehicle Region,Incident Date,Incident Type,Speed Limit(MPH),Vehicle Speed(MPH)"
Driver Behaviour,"Email,First Name,Last Name,Engineer ID,Mobile,Company,User Division,User Region,Safety Score,Efficiency Score,Overall Score"
User Defects,"Email,First Name,Last Name,Engineer ID,Mobile,Company,User Division,User Region,Registration,Type,Category,Sub Category,Vehicle Division,Vehicle Region,Defect Date,Defect Category,Defect Name"
User Checks,"Email,First Name,Last Name,Engineer ID,Mobile,Company,User Division,User Region,Registration,Type,Category,Sub Category,Vehicle Division,Vehicle Region,Check Type,Check Result,Last Check Date"
Weekly Maintenance,"Registration,Type,Manufacturer,Model,Vehicle Division,Vehicle Region,Vehicle Location,Maintenance Event,Due Date,Repair/Maintenance Location"
Last Login,"First Name,Last Name,Company,User Division,User Region,Username,Email,Mobile,Roles,Last Login,Is Archived?"
Fleet Cost,"Registration,Vehicle Division,Vehicle Region,Vehicle Location,Nominated Driver,Type,Operator License,Ownership Status,Vehicle Status,Date Added To Fleet,Location From,Location To,Hire Cost,Management Cost,Depreciation Cost,Vehicle Tax,Insurance Cost,Telematics Cost,Manual Cost Adj,Fuel Type,Oil,AdBlue,Screen Wash,Fleet Livery,Defects,Total,Transfer"
Activity Report,"First Name,Last Name,Email,User Region,Vehicle Take Out,Vehicle Return"
Vor Report,"Registration,Vehicle Division,Vehicle Region,HGV/Non-HGV,Type,Manufacturer,Model,Vehicle Location,Repair/Maintenance Location,Dated VOR'd,VOR Duration(days),Vehicle Status,Defect Category,Defect,Defect Number,Estimated Completion Date,Last Comment Date,Last Comment"
Vor Defect,"Defect Category,Defect"
Defect Report,"Registration,Vehicle Division,Vehicle Region,HGV/Non-HGV,Type,Manufacturer,Model,Vehicle Location,Repair/Maintenance Location,Defect Date,Defect Number,Odometer,Defect Category,Defect,Vehicle Status,Defect Status,Last Comment Date,Last Comment"
Driving Events,"Registration,Vehicle Division,Vehicle Region,First Name,Last Name,Date,Time,Incident,Location"
Speeding Report,"Registration,Vehicle Division,Vehicle Region,Vehicle Status,First Name,Last Name,Vehicle Speed(MPH),Speed Limit(MPH),Date,Time,Incident,Location"
Journey Report,"Registration,Vehicle Division,Vehicle Region,First Name,Last Name,Journey Start Time,Journey End Time,Journey Duration(HH:MM:SS),Journey Distance(Miles),Start Location,End Location,Number of Incidents,Fuel,MPG(Actual),MPG(Expected),Journey CO2"
Fuel Emission,"Registration,Vehicle Division,Vehicle Region,Journey Duration(HH:MM:SS),Journey Distance(Miles),Actual Driving Time(HH:MM:SS),Idling Time(HH:MM:SS),Fuel Consumption(in litre),MPG(Actual),MPG(Expected),Journey CO2"
Vehicle location,"Registration,Company,Vehicle Division,Vehicle Region,Email,First Name,Last Name,Journey Start Date,Journey Start Time,Journey End Time,Journey Start Location,Journey Start Map Link,Journey End Location,Journey End Map Link"
PMI performance,"Registration,Type,Category,Sub Category,Vehicle Division,Vehicle Region,Vehicle Location,PMI Planned Date,PMI Actual Date,Repair/Maintenance Location,Event Status"
