Type*	Category*	Sub category*	Odometer setting*	Usage*	Manufacturer*	Model*	Bodybuilder	Gross vehicle weight	Tyre size drive	Tyre size steer	Tyre pressure drive	Tyre pressure steer	Nut size	Re-torque	Length (mm)	Width (mm)	Height (mm)	Fuel type*	Type of engine*	Engine size (cc)	Oli grade	CO2 (g/km)	Monthly vehicle tax	Compressor service interval	Invertor service interval	LOLER test interval	PMI interval	PTO service interval	Service interval type	Distance	Time
4x4 Toyota	Non-HGV	Van	Miles	Commercial	Toyota	Hi Lux												Diesel	Euro VI diesel (Adblue)												
Asset Flow Vauxhall	Non-HGV	Van	Miles	Commercial	Vauxhall	Movano												Diesel	Euro VI diesel (Adblue)												
Car Derivative Ford	Non-HGV	Van	Miles	Commercial	Ford	Fiesta Van												Diesel	Euro VI diesel (Adblue)												
CCTV Mercedes	Non-HGV	Van	Miles	Commercial	Mercedes	Sprinter												Diesel	Euro VI diesel (Adblue)												
Flushing Ford	Non-HGV	Van	Miles	Commercial	Ford	Custom												Diesel	Euro VI diesel (Adblue)												
Fridge Volkswagon	Non-HGV	Van	Miles	Commercial	Volkswagen	Crafter Fridge 												Diesel	Euro VI diesel (Adblue)												
Large Ford	Non-HGV	Van	Miles	Commercial	Ford	Custom												Diesel	Euro VI diesel (Adblue)												
Medium Vaux	Non-HGV	Van	Miles	Commercial	Vaux	Combo												Diesel	Euro VI diesel (Adblue)												
Medium Vauxhall	Non-HGV	Van	Miles	Commercial	Vauxhall	Vivaro												Diesel	Euro VI diesel (Adblue)												
Medium Peugeot	Non-HGV	Van	Miles	Commercial	Peugeot	Partner												Diesel	Euro VI diesel (Adblue)												
PRV Ford	Non-HGV	Van	Miles	Commercial	Ford	Custom												Diesel	Euro VI diesel (Adblue)												
Small Citroen	Non-HGV	Van	Miles	Commercial	Citroen	Berlingo												Diesel	Euro VI diesel (Adblue)												
Small Peugeot	Non-HGV	Van	Miles	Commercial	Peugeot	Partner												Diesel	Euro VI diesel (Adblue)												
Small Vauxhall	Non-HGV	Van	Miles	Commercial	Vauxhall	Combo												Diesel	Euro VI diesel (Adblue)												
Small Volkswagen	Non-HGV	Van	Miles	Commercial	Volkswagen	Caddy												Diesel	Euro VI diesel (Adblue)												
XL Van Mercedes	Non-HGV	Van	Miles	Commercial	Mercedes	Sprinter												Diesel	Euro VI diesel (Adblue)												
