id	order	type	page_title	app_question	app_question_with_defect	defect	has_not_applicable_option	defect_order	has_image	has_text	is_prohibitional	show_warning	warning_text	safety_notes	for_hgv	for_non-hgv
1	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Anti-locking braking system (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
2	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Anti-locking braking system (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
3	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Battery (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
4	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Battery (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
5	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Brakes (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
6	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Brakes (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
7	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Dashboard damage	0	0	1	0	0	0	\N	Roadworthy but needs workshop visit	1	1
8	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Differential lock (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
9	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Differential lock (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
10	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Electronic braking system (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
11	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Electronic braking system (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
12	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Electronic stability programme (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
13	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Electronic stability programme (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
14	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Engine management light (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
15	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Engine management light (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
16	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Exhaust (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
17	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Exhaust (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
18	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Horn (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
19	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Horn (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
20	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Oil (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
21	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Oil (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
22	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Parking brake (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
23	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Parking brake (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
24	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Service/Spanner (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
25	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Service/Spanner (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
26	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Steering (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
27	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Steering (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
28	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Temperature (Amber)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
29	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Temperature (Red)	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
30	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	AdBlue warning light on dash	0	0	1	0	1	0	\N	Re-fill Adblue asap	1	1
31	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Oil change on message list	0	0	1	0	0	0	\N	Roadworthy but needs workshop visit	1	1
32	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Service light on dash	0	0	1	0	0	0	\N	Roadworthy but needs workshop visit	1	1
33	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Tyre pressure warning light	0	0	1	0	1	0	\N	Not roadworthy call tyre provider 	1	1
34	1	yesno	Dash Status and Warnings	Is the dashboard free from advisory or warning symbols?	Is the dashboard free from advisory or warning symbols?	Gearbox warning light	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
35	2	yesno	Audible Warnings	Is the reversing siren and where applicable left turn siren operational?	Is the reversing siren and where applicable left turn siren operational?	Reversing siren inoperative	0	1	0	0	1	0	\N	Roadworthy but needs workshop visit	1	1
36	2	yesno	Audible Warnings	Is the reversing siren and where applicable left turn siren operational?	Is the reversing siren and where applicable left turn siren operational?	Left turn warning inoperative	0	2	0	0	0	0	\N	Roadworthy but needs workshop visit	1	1
37	3	yesno	Horn	Is the horn free from defects?	Is the horn free from defects?	No sound	0	3	0	0	1	0	\N	Roadworthy but needs workshop visit	1	1
38	3	yesno	Horn	Is the horn free from defects?	Is the horn free from defects?	Horn ineffective	0	4	0	0	1	0	\N	Roadworthy but needs workshop visit	1	1
39	4	yesno	Windscreen	Is the windscreen free from defects?	Is the windscreen free from defects?	Windscreen chipped	0	0	1	0	1	0	\N	Roadworthy if outside of A zone & smaller than 10mm - otherwise NOT Roadworthy contact windscreen repair company from handbook	1	1
40	4	yesno	Windscreen	Is the windscreen free from defects?	Is the windscreen free from defects?	Windscreen cracked	0	0	1	0	1	0	\N	Roadworthy if outside of A zone & smaller than 10mm - otherwise NOT Roadworthy contact windscreen repair company from handbook	1	1
41	4	yesno	Windscreen	Is the windscreen free from defects?	Is the windscreen free from defects?	Windscreen obstructed	0	0	1	0	1	0	\N	Remove obstructions from field of vision	1	1
42	4	yesno	Windscreen	Is the windscreen free from defects?	Is the windscreen free from defects?	Impaired driver vision	0	0	1	0	1	0	\N	Remove obstructions from field of vision	1	1
43	5	yesno	Tachograph - Operation	Is the tachograph free from defects, with sufficient spare printer rolls?	Is the tachograph free from defects, with sufficient spare printer rolls?	Tacho inoperable	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
44	6	yesno	Tachograph - Spare Rolls	Do you have 2 spare tacho rolls as required?	Do you have 2 spare tacho rolls as required?	Items missing / defected	0	0	0	0	1	0	\N	Obtain box of tacho rolls from transport office / site stores	1	1
45	7	yesno	Speedometer Operation	Is the speedometer operational and free from defects?	Is the speedometer operational and free from defects?	Speedometer inoperable	0	0	0	0	1	0	\N	Contact transport office to arrange repair	1	1
46	7	yesno	Speedometer Operation	Is the speedometer operational and free from defects?	Is the speedometer operational and free from defects?	Speedometer defective	0	0	0	0	1	0	\N	Contact transport office to arrange repair	1	1
47	8	yesno	Speed Limiter	Is speed limiter operational?	Is speed limiter operational?	Speed limiter faulty	0	0	0	0	0	0	\N	Roadworthy but needs workshop visit	1	1
48	9	yesno	Gearbox	Is gearbox functioning correctly?	Is gearbox functioning correctly?	Faulty gearbox	0	0	0	0	1	0	\N	Roadworthy but needs workshop visit	1	1
49	10	yesno	Differential	Is differential lock functioning correctly?	Is differential lock functioning correctly?	Faulty differential lock	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
50	11	yesno	Brakes	Are all brakes free from defects?	Are all brakes free from defects?	Hand brake damaged	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
51	11	yesno	Brakes	Are all brakes free from defects?	Are all brakes free from defects?	Hand brake inoperative	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
52	11	yesno	Brakes	Are all brakes free from defects?	Are all brakes free from defects?	Foot brake inoperative	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
53	11	yesno	Brakes	Are all brakes free from defects?	Are all brakes free from defects?	Foot brake spongey	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
54	11	yesno	Brakes	Are all brakes free from defects?	Are all brakes free from defects?	Air leak in braking system	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
55	12	yesno	Pedal Rubbers	Are the pedal rubbers good condition and free from defect?	Are the pedal rubbers good condition and free from defect?	Foot brake pedal rubber worn / missing	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
56	12	yesno	Pedal Rubbers	Are the pedal rubbers good condition and free from defect?	Are the pedal rubbers good condition and free from defect?	Accelerator pedal rubber worn / missing	0	0	0	0	1	0	\N	Roadworthy but needs workshop visit	1	1
57	13	yesno	Steering	Is the steering free from defects?	Is the steering free from defects?	Excessive free play	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
58	13	yesno	Steering	Is the steering free from defects?	Is the steering free from defects?	Steering wheel insecure	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
59	13	yesno	Steering	Is the steering free from defects?	Is the steering free from defects?	Steering wheel damaged	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
60	13	yesno	Steering	Is the steering free from defects?	Is the steering free from defects?	Steering wheel stiff	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
61	14	yesno	Seat Security	Is the seat secure and seatbelts free from damage?	Is the seat secure and seatbelts free from damage?	Seat insecure/loose	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
62	14	yesno	Seat Security	Is the seat secure and seatbelts free from damage?	Is the seat secure and seatbelts free from damage?	Seatbelt damaged	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
63	14	yesno	Seat Security	Is the seat secure and seatbelts free from damage?	Is the seat secure and seatbelts free from damage?	Seatbelt not retracting	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
64	14	yesno	Seat Security	Is the seat secure and seatbelts free from damage?	Is the seat secure and seatbelts free from damage?	Seatbelt missing	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
65	15	yesno	Delivery Notes 	Do you have your delivery notes and Nominally empty notes for once you are tipped or empty?	Do you have your delivery notes and Nominally empty notes for once you are tipped or empty?	Notes missing 	0	0	0	0	1	0	\N	Call transport office 	1	1
66	16	yesno	Drivers Cards and Licences 	Do you have your ADR Card, Driver CPC card, Driving license and Digital Tacho card?	Do you have your ADR Card, Driver CPC card, Driving license and Digital Tacho card?	Items missing / defected	0	0	0	0	1	0	\N	Call transport office 	1	1
67	17	yesno	Plating and Ministry Certificate	Is the vehicle plating / ministry certificate displayed?	Is the vehicle plating / ministry certificate displayed?	No - missing	0	0	0	0	0	0	\N	Contact transport office	1	1
68	18	yesno	Vehicle Height Indicator	Is the height indicator present and displayed?	Is the height indicator present and displayed?	No - missing	0	0	0	0	0	0	\N	Contact transport office	1	1
69	19	yesno	Smoking Signs	Are the no smoking signs displayed?	Are the no smoking signs displayed?	No - missing	0	0	0	0	0	0	\N	Contact transport office	1	1
70	20	yesno	CCTV System	Is the CCTV system free from defects?	Is the CCTV system free from defects?	Front Camera inoperative	0	0	0	0	0	0	\N	Contact transport office to arrange repair	1	1
