Type*	Category*	Sub category*	Odometer setting*	Usage*	Manufacturer*	Model*	Bodybuilder	Gross vehicle weight	Tyre size drive	Tyre size steer	Tyre pressure drive	Tyre pressure steer	Nut size	Re-torque	Length (mm)	Width (mm)	Height (mm)	Fuel type*	Type of engine*	Engine size (cc)	Oli grade	CO2 (g/km)	Monthly vehicle tax	Compressor service interval	Invertor service interval	LOLER test interval	PMI interval	PTO service interval	Service interval type	Distance	Time
18t Crane Lorry	HGV		KM	Commercial	Iveco	LF Eurocargo		18000										Diesel	Euro V diesel							6 months	6 weeks	12 months	Time		6 months
18t Tipper - Daf	HGV		KM	Commercial	Daf	LF	Charlton	18000										Diesel	Euro V diesel							None	6 weeks	12 months	Time		12 months
18t Tipper - Volvo	HGV		KM	Commercial	Volvo	FL	Charlton	18000										Diesel	Euro V diesel							None	6 weeks	12 months	Time		12 months
4x4 - Defender 110	Non-HGV	Van	Miles	Commercial	Landrover	Defender 110		3500										Diesel	Euro VI diesel (Adblue)										Distance	Every 20,000	
4x4 - Defender 90	Non-HGV	Van	Miles	Commercial	Landrover	Defender 90		3500										Diesel	Euro VI diesel (Adblue)										Distance	Every 20,000	
4x4 - Discovery Car	Non-HGV	Car	Miles	Non-commercial	Landrover	Discovery HSE		3500										Diesel	Euro VI diesel (Adblue)										Distance	Every 20,000	
4x4 - Landcruiser	Non-HGV	Car	Miles	Commercial	Toyota	Landcruiser		3500										Diesel	Euro VI diesel (Adblue)										Distance	Every 20,000	
4x4 - Range Rover	Non-HGV	Car	Miles	Non-commercial	Range Rover	Vogue		3500										Diesel	Euro VI diesel (Adblue)										Distance	Every 20,000	
6x2 Daf Artic	HGV		KM	Commercial	Daf	XF530 SuperSp	Daf	44000										Diesel	Euro VI diesel (Adblue)					12 months	12 months	None	6 weeks	12 months	Time		6 months
6x2 Volvo Artic 	HGV		KM	Commercial	Volvo	FH500XL	Volvo	44000										Diesel	Euro VI diesel (Adblue)					12 months	12 months	None	6 weeks	12 months	Time		6 months
7.5t Asphalt - Iveco	HGV		KM	Commercial	Iveco	Daily												Diesel	Euro V diesel										Time		6 months
7.5t Box - Isuzu	HGV		KM	Commercial	Isuzu	N75		7500										Diesel	Euro VI diesel (Adblue)					None	None	6 months	6 weeks	12 months	Time		6 months
7.5t Box - Iveco	HGV		KM	Commercial	Iveco	Daily		7500										Diesel	Euro V diesel					None	None	6 months	6 weeks	12 months	Time		6 months
7.5t Dropside - Isuzu	HGV		KM	Commercial	Isuzu	N75	Euromotive	7500										Diesel	Euro VI diesel (Adblue)					None	None	None	6 weeks	12 months	Time		6 months
7.5t Tipper - Daf	HGV		KM	Commercial	Daf	LF	Euromotive	7500										Diesel	Euro VI diesel (Adblue)					12 months		None	6 weeks	12 months	Time		12 months
7.5t Tipper - Isuzu V	HGV		KM	Commercial	Isuzu	N75	Euromotive	7500										Diesel	Euro V diesel					12 months		None	6 weeks	12 months	Time		12 months
7.5t Tipper - Isuzu VI	HGV		KM	Commercial	Isuzu	N75	Euromotive	7500										Diesel	Euro VI diesel (Adblue)					12 months		None	6 weeks	12 months	Time		12 months
8x2 Beavertail	HGV		KM	Commercial	Volvo	FM	Andover	32000										Diesel	Euro VI diesel (Adblue)							12 months	6 weeks	12 months	Time		6 months
8x4 Tipper Grab - Arocs	HGV		KM	Commercial	Mercedes	Arocs	Thompson	32000										Diesel	Euro VI diesel (Adblue)							12 months	6 weeks	12 months	Time		12 months
8x4 Tipper Grab - Daf	HGV		KM	Commercial	Daf	CF85	Thompson	32000										Diesel	Euro V diesel							12 months	6 weeks	12 months	Time		12 months
8x4 Tipper Grab - Econic	HGV		KM	Commercial	Mercedes	Econic	Thompson	32000										Diesel	Euro VI diesel (Adblue)							12 months	6 weeks	12 months	Time		12 months
