Division	Region
BS Bristol Schools	BS Bristol Schools
BS City of London	BS City of London
BS Essex Schools	BS Essex Schools
BS JLL Hard Services	London
BS Kent	BS Kent
BS Northwood	BS Northwood
BS Scotland	BS Scotland
BS Woking	BS Woking
HS Cambridgeshire	HS Cambridgeshire
HS Devon	HS Devon
HS Hampshire	HS Hampshire
HS Hinkley Point	HS Hinkley Point
HS North Somerset	HS North Somerset
HS Oxfordshire	HS Oxfordshire
HS Peterborough	HS Peterborough
HS Somerset	HS Somerset
INF A428	INF A428
IS Rail	IS Rail
IS Street Lighting	IS Street Lighting
INF M42	INF M42
BS Barts & Royal	BS Barts & Royal
BS Commercial Property Maintenance	BS Commercial Property Maintenance
BS Derby Hospital	BS Derby Hospital
BS Mansfield Hospital	BS Mansfield Hospital
BS SRW Infrastructure	BS SRW Infrastructure
BS SRW W6	BS SRW W6
BS Walsall Hospital	BS Walsall Hospital
BUIL Deepcut	BUIL Deepcut
BUIL Worthy Down	BUIL Worthy Down
CORP Communications	CORP Communications
INF A14	INF A14
INF Anglian Water	INF Anglian Water
INF Crossrail	INF Crossrail
INF Humber	INF Humber
UT Thames Water AMP6 Delivery	UT Thames Water AMP6 Delivery
INF SAS13 Bridge Replacement	INF SAS13 Bridge Replacement
CEM Bentley Field Service	CEM Bentley Field Service
CEM Bentley Fitting Shop	CEM Bentley Fitting Shop
CEM Bentley Fabrications	CEM Bentley Fabrications
CEM Scotland Lairg	CEM Scotland Lairg
CEM Bentley Site Resource	CEM Bentley Site Resource
CEM A1 Birtley to Coalhouse	CEM A1 Birtley to Coalhouse
