Division	Region
BS Bristol Schools	Bristol
BS City of London	City of London
BS Essex Schools	Essex
BS JLL Hard Services	London
BS Kent	East Kent
BS Kent	Kent
BS Kent	West Kent
BS Northwood	Northwood
BS Scotland	Motherwell
BS Woking	Woking
HS Cambridgeshire	Cambridge
HS Cambridgeshire	Ely
HS Cambridgeshire	Huntingdon
HS Cambridgeshire	March
HS Cambridgeshire	Whittlesford
HS Devon	Avocet Road
HS Devon	Copstone
HS Devon	Crediton
HS Devon	Dolton
HS Devon	Heron Road
HS Devon	Honiton
HS Devon	Ivybridge
HS Devon	Kingsteignton
HS Devon	Merton
HS Devon	Okehampton
HS Devon	Parracombe
HS Devon	Rydon Quarry
HS Devon	South Molton
HS Devon	Tavistock
HS Devon	Tiverton
HS Devon	Torr
HS Devon	Torrington
HS Hampshire	Andover
HS Hampshire	Bishops Waltham
HS Hampshire	Broadmarsh
HS Hampshire	Hook
HS Hampshire	Petersfield
HS Hampshire	Totton
HS Hinkley Point	Hinkley Point
HS North Somerset	Sandford
HS Oxfordshire	Deddington
HS Oxfordshire	Drayton
HS Oxfordshire	Milton Common
HS Oxfordshire	Oxford
HS Oxfordshire	Woodcote
HS Peterborough	Peterborough
HS Somerset	Dunball
HS Somerset	Exford
HS Somerset	Frome
HS Somerset	Glastonbury
HS Somerset	Minehead
HS Somerset	Priorswood
HS Somerset	Taunton
HS Somerset	Yeovil
INF A428	A428
IS Rail	Snaresbrook
IS Street Lighting Gloucester	Gloucester
IS Street Lighting Merrow External	Merrow External
IS Street Lighting Merrow O&M	Merrow O&M
IS Street Lighting Redbridge	Redbridge
IS Street Lighting South Croydon	South Croydon
INF M42	M42
BS Barts & Royal	London
BS Commercial Property Maintenance	Maple Cross
BS Derby Hospital	Derby
BS Mansfield Hospital	Kingsmill Hospital - Nottingham
BS SRW Infrastructure	Paddington
BS SRW W6	K1 Knightsbridge
BS SRW W6	London
BS SRW W6	Maple Cross
BS SRW W6	Northwood
BS Walsall Hospital	Walsall Manor Hospital
BUIL Deepcut	Deepcut
BUIL Worthy Down	Worthy Down
CORP Communications	Maple Cross
INF A14	Section - Core
INF A14	Section 1,2 & 6 - Brampton
INF A14	Section 4 - Boxworth
INF Anglian Water	Kent
INF Anglian Water	Peterborough
INF Crossrail	Canning Town
INF Humber	Goxhill
UT Thames Water AMP6 Delivery	Maple Lodge
INF SAS13 Bridge Replacement	Birmingham
CEM Bentley Field Service	Doncaster (Bentley Works)
CEM Bentley Fitting Shop	Doncaster (Bentley Works)
CEM Bentley Fabrications	Doncaster (Bentley Works)
CEM Scotland Lairg	Lairg
CEM Bentley Site Resource	Doncaster (Bentley Works)
CEM A1 Birtley to Coalhouse	Gateshead
