Date and Time,Drawing Vehicle,Net Cost
24/02/2023 09:13,BG22LBF,67.5
23/02/2023 06:43,BG70EBA,60.97
21/02/2023 06:39,BG70EBA,63.83
22/02/2023 15:07,BG70TDU,74.28
24/02/2023 14:56,BJ22FXO,45.69
23/02/2023 10:04,BJ22FXO,61.07
21/02/2023 11:25,BJ22FXO,57.64
21/02/2023 16:15,BJ70YKG,53.5
24/02/2023 08:58,BK22VN,74.99
20/02/2023 15:17,BK22WVC,60.83
23/02/2023 14:28,BK22WVS,75.92
20/02/2023 08:58,BK22WWC,69.81
23/02/2023 08:09,BK22WXM,71.74
26/02/2023 18:13,BK22WXN,74.45
21/02/2023 15:05,BK22WXN,71.36
20/02/2023 08:01,BK22WZE,48.41
21/02/2023 08:42,BN70RVT,56.95
23/02/2023 09:58,BN70XKS,73.01
20/02/2023 08:53,BN70XKS,67.89
21/02/2023 15:37,BT22UDX,74.15
21/02/2023 14:46,BT70BVE,79.07
24/02/2023 10:17,BT70VTW,72.05
23/02/2023 06:58,BT70VTW,82.08
21/02/2023 06:54,BT70VTW,80.61
23/02/2023 10:20,BT70VVE,84.16
20/02/2023 06:55,BT70VVE,75.52
22/02/2023 07:02,BT70VVF,61.12
24/02/2023 07:48,BT70VVH,66.31
20/02/2023 08:39,BT70VVH,32.62
23/02/2023 15:55,BT70VVM,79.68
20/02/2023 11:24,BT70VVM,72.65
24/02/2023 07:49,BT71OKK,73.41
20/02/2023 07:20,BT71OKK,72.02
20/02/2023 15:45,CA22VTF,77.7
21/02/2023 07:50,CA22WCP,72.72
21/02/2023 17:47,CJ71DHK,97.05
20/02/2023 08:21,CK70ERZ,46.1
22/02/2023 13:16,CK70VFA,71.81
23/02/2023 08:22,CN69HTT,53.82
21/02/2023 17:29,CT68ORU,65.6
21/02/2023 12:22,CV68FZT,55.24
24/02/2023 07:41,DL21KFD,113.77
22/02/2023 08:21,DL21KFD,113.25
20/02/2023 08:33,DL21KFD,109.86
24/02/2023 14:48,DL21NVD,85.62
24/02/2023 08:46,DL21NWR,53.47
24/02/2023 08:10,DL22YKU,81.39
20/02/2023 09:35,DP69YKM,78.98
24/02/2023 11:23,DT19BSX,55.34
24/02/2023 12:01,DT19NPX,69.38
21/02/2023 08:08,DT70JWV,97.06
22/02/2023 08:06,DV22SMX,158.61
24/02/2023 13:34,DV69CEX,74.26
23/02/2023 14:40,DV70UHR,62.59
20/02/2023 15:34,DY70UES,54.62
24/02/2023 07:40,FN19JLO,317.39
21/02/2023 08:19,FN19JLO,287.45
24/02/2023 15:19,FN67VYP,124.5
22/02/2023 08:30,FN67VYP,124.5
21/02/2023 08:30,FN67VYP,124.5
21/02/2023 10:13,GJ21LHO,84.2
22/02/2023 12:14,GL70BJV,80.34
24/02/2023 11:55,HT22VBY,73.87
20/02/2023 21:10,HT22VBY,70.04
22/02/2023 14:40,HT22YDO,78.15
23/02/2023 17:45,HT71ZRO,71.69
23/02/2023 11:18,HV70CVA,66.66
22/02/2023 08:07,HV70DVN,80.88
20/02/2023 08:46,HV72OKX,75.72
22/02/2023 07:50,HW20XLD,78.17
23/02/2023 11:16,HW70SFU,82.76
20/02/2023 10:14,HW70SFU,81.6
21/02/2023 11:48,LG12LSE,82.48
21/02/2023 17:34,M14MCV,33.88
22/02/2023 12:31,MA70LGZ,58.69
24/02/2023 06:07,MA70LKF,69.79
22/02/2023 06:25,MA70LKF,54.58
22/02/2023 17:01,MK21WJA,74.49
20/02/2023 16:11,MP70LFG,66.2
21/02/2023 08:37,NK19VVY,88.2
22/02/2023 07:18,NV70PNE,78.95
26/02/2023 12:14,PL18UET,69.63
22/02/2023 07:55,SA67TYS,94.15
22/02/2023 10:05,SA70XVR,68.1
20/02/2023 09:08,SB69BBO,52.19
23/02/2023 15:05,SB69BVO,51.7
21/02/2023 12:50,SB69JYW,53.25
21/02/2023 18:16,SG18YUO,45.74
24/02/2023 06:40,SG20OJE,60.72
21/02/2023 06:41,SG20OJE,57.21
22/02/2023 12:27,SG20OJJ,81.26
23/02/2023 11:50,SG20OJT,79.09
23/02/2023 12:52,SG20OLP,60.79
21/02/2023 12:12,SG20OLP,49.85
20/02/2023 09:20,SG20OMD,69.13
22/02/2023 07:45,SG20OMV,80.91
21/02/2023 12:59,SH69XVB,51.51
24/02/2023 12:14,SH70KFF,67.7
22/02/2023 10:40,SH70KFF,75.63
22/02/2023 13:58,SM22LHW,76.02
25/02/2023 15:16,SM22LHY,58.08
23/02/2023 08:53,SM22LHY,73.11
20/02/2023 13:40,SM22LHY,68.69
24/02/2023 15:59,SM22LHZ,78.86
22/02/2023 16:46,SM22XAC,72.73
21/02/2023 09:41,SM22XAC,20.43
20/02/2023 09:17,SM22XAC,59.47
21/02/2023 16:10,WJ70WHA,62.91
22/02/2023 14:04,WN70BDE,68.95
24/02/2023 15:05,WN70BEO,63.43
24/02/2023 17:52,WP70GOA,92.79
20/02/2023 16:27,WP70LCL,79.75
24/02/2023 12:06,WP70LDV,75.86
24/02/2023 15:08,WP70LGF,61.2
20/02/2023 12:32,WP70LHZ,76.67
21/02/2023 15:26,WP70TZK,68.67
23/02/2023 09:59,WP70UAN,74.02
23/02/2023 09:14,WV70PKK,64.23
23/02/2023 20:17,WV70PMY,76.75
24/02/2023 14:52,X28KEV,65.4
21/02/2023 18:01,X28KEV,90.69
23/02/2023 08:33,YJ19CBG,60.44
23/02/2023 14:19,YJ19CPD,60.48
24/02/2023 14:53,YP20AOT,74.11
24/02/2023 09:37,YP22CKU,66.47
21/02/2023 14:18,YP22CLZ,89.85
22/02/2023 18:29,YP22CMF,85.34
22/02/2023 11:07,YP22CNK,75.17
21/02/2023 14:21,YP22CNK,73.03
20/02/2023 09:29,YP22CNK,65.08
24/02/2023 14:11,YP22CNO,77.02
21/02/2023 08:01,YP22CNV,69.2
24/02/2023 07:03,YP72FBF,33.25
21/02/2023 17:22,YP72FBU,40.99
24/02/2023 12:00,YP72GBY,36.44
23/02/2023 11:50,YP72GVN,35.94
22/02/2023 14:25,YP72GVV,39.46
23/02/2023 16:31,YR70USD,71.34
24/02/2023 13:19,YR72RYK,26.16
22/02/2023 12:38,YR72RYK,24.4
20/02/2023 08:35,YR72RYK,33.82
20/02/2023 17:38,YR72RYM,35.85
23/02/2023 08:21,YT22XJM,49.1
24/02/2023 09:57,YT22XJO,57.22
21/02/2023 07:24,YT22XJP,52.97
24/02/2023 15:38,YT22XJU,47.36
21/02/2023 16:16,YT22XLU,51.23
