Date and Time,Drawing Vehicle,Net Cost
27/02/2023 17:38,AJ72UHN,58.01
03/03/2023 07:52,BG70EBA,73.52
27/02/2023 07:35,BG70EBA,66.27
02/03/2023 17:16,BG70TDU,57.29
28/02/2023 14:19,BG70VTW,76.42
03/03/2023 13:43,BJ22FXO,66.51
01/03/2023 11:06,BJ22FXO,57.89
27/02/2023 08:25,BJ70YKG,58.84
27/02/2023 14:35,BK22HJD,77.29
02/03/2023 18:03,BK22WBC,55.88
27/02/2023 15:54,BK22WVC,51.93
03/03/2023 08:01,BK22WVN,76.74
27/02/2023 10:03,BK22WVW,66.32
03/03/2023 14:11,BK22WWC,71.31
28/02/2023 15:29,BN70RVT,48.65
27/02/2023 08:20,BN70RVX,74.69
03/03/2023 15:46,BN70XKS,71.79
28/02/2023 10:38,BN70XKS,70.8
02/03/2023 08:04,BT22UDX,72.94
27/02/2023 08:26,BT22UEL,75.43
03/03/2023 14:47,BT70DVM,79.87
03/03/2023 07:05,BT70VTW,78.18
28/02/2023 12:17,BT70VTW,48.74
03/03/2023 14:47,BT70VVE,73.09
01/03/2023 07:17,BT70VVE,75.78
27/02/2023 08:23,BT70VVE,79.07
27/02/2023 08:47,BT70VVH,65.44
02/03/2023 13:13,BT71OFL,72.09
01/03/2023 18:21,BT71OKK,72.4
27/02/2023 13:08,CA22OKU,89.85
02/03/2023 08:34,CA22VTF,76.62
28/02/2023 07:51,CA22WCP,72.46
27/02/2023 08:25,CE22FZH,98.22
04/03/2023 16:38,CJ71DHK,87.05
27/02/2023 09:48,CJ71DHK,70.45
27/02/2023 11:27,CK70ERZ,53.62
01/03/2023 09:46,CK70VFA,70.48
03/03/2023 14:57,CN21DVB,39.66
27/02/2023 16:39,CT68ORU,68.9
28/02/2023 08:58,CV68FZT,74.46
28/02/2023 06:57,DK22WZE,45.26
03/03/2023 12:45,DL18UET,42.25
03/03/2023 08:40,DL21KFD,96.76
01/03/2023 09:31,DL21KFD,107.22
03/03/2023 12:39,DL21NVD,75.86
27/02/2023 08:20,DN21PLZ,51.98
01/03/2023 15:32,DN21PNV,76.69
03/03/2023 07:41,DP69YKN,70.54
02/03/2023 12:03,DT18HLG,51.3
01/03/2023 11:49,DT19BSX,52.78
04/03/2023 08:54,DT70JWV,88.55
05/03/2023 13:37,DV70UHR,54.17
28/02/2023 13:38,DY22RKZ,61.1
03/03/2023 10:36,DY70UES,53.26
28/02/2023 09:53,EF72SMX,51.41
02/03/2023 09:05,FN19JLO,280.21
02/03/2023 08:16,FN67VYP,121.48
01/03/2023 08:17,FN67VYP,121.48
28/02/2023 08:24,GJ21LHO,75.73
28/02/2023 14:01,GL70BJV,79.36
02/03/2023 07:36,GY10KWG,128.51
02/03/2023 08:31,HT71ZRO,73.68
02/03/2023 08:31,HV70CVA,58.38
01/03/2023 14:59,HV70DVN,73.98
28/02/2023 11:15,HV72OKX,74.41
01/03/2023 08:31,HW20XLB,74.05
27/02/2023 17:27,M14MCV,32.99
04/03/2023 11:22,MA70LCO,71.47
27/02/2023 15:16,MA70LCO,81.2
03/03/2023 07:47,MA70LGZ,63.7
28/02/2023 10:14,MA70LGZ,60.34
01/03/2023 06:24,MA70LKF,53.62
01/03/2023 14:22,MK20UWT,61.64
03/03/2023 14:54,MK21WJA,74.52
05/03/2023 07:43,R90FMC,59.39
01/03/2023 10:49,SA70XVR,68.48
01/03/2023 07:31,SB66YJD,84.19
03/03/2023 08:18,SB69BBO,55.09
27/02/2023 08:25,SB69EAF,47.06
03/03/2023 07:49,SC67GYS,69.89
28/02/2023 10:52,SC67GYS,81.56
27/02/2023 10:38,SC68FVZ,86.82
02/03/2023 18:38,SG18YUO,46.03
03/03/2023 06:38,SG20OJE,52.24
27/02/2023 15:20,SG20OJJ,78.94
03/03/2023 09:04,SG20OLP,63.38
01/03/2023 09:39,SG20OLP,59.15
27/02/2023 11:39,SG20OLP,106.51
02/03/2023 13:04,SG20OMD,67.06
01/03/2023 15:00,SG20OMV,75.11
27/02/2023 10:51,SG2OMD,73.3
03/03/2023 16:21,SG70PXJ,71.76
01/03/2023 09:10,SG70PXJ,67.47
01/03/2023 09:10,SG70PXJ,14.19
28/02/2023 08:11,SH21AUP,76.9
27/02/2023 14:49,SH69XVB,52.82
01/03/2023 14:05,SH70KFF,76.03
28/02/2023 08:52,SH72NSE,85.85
28/02/2023 12:42,SH72OJS,38.04
28/02/2023 16:00,SM18HEV,73.33
27/02/2023 09:11,SM22LHW,43.43
03/03/2023 11:44,SM22LHY,69.43
27/02/2023 14:47,SM22LHY,82.45
01/03/2023 17:54,SM22LJE,57.75
27/02/2023 13:10,SM22LJE,64
02/03/2023 08:10,SM22LMW,71.05
28/02/2023 15:44,SM22WZS,57.95
04/03/2023 12:31,SM22XAC,54.69
02/03/2023 08:09,SM22XAC,63.95
27/02/2023 09:51,SM22XAC,59.8
03/03/2023 18:19,SM22XAE,70.24
28/02/2023 18:13,SM22XAE,49.89
27/02/2023 07:54,SM22XAE,70.79
01/03/2023 12:23,SM2LJF,46.47
02/03/2023 08:52,WJ70WHA,73.67
02/03/2023 07:52,WN70BDE,69.21
03/03/2023 13:26,WN70BEO,70.85
03/03/2023 13:11,WP70LDV,77.6
02/03/2023 07:26,WP70LGL,73.7
28/02/2023 10:17,WP70LHZ,76.91
28/02/2023 11:25,WP70TYT,72.99
04/03/2023 17:03,WV70PKK,68.62
28/02/2023 15:57,WV70PKK,61.36
01/03/2023 17:38,WV70PMY,78.51
02/03/2023 09:20,WV70PNE,70.46
27/02/2023 12:00,WV70PNE,64.99
02/03/2023 15:19,X28KEV,0.64
02/03/2023 15:19,X28KEV,90.5
