"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"10/03/2023 12:21",AJ72UHN,55.54,"Not imported vehicle not recognised"
"10/03/2023 06:48",BD2AKY,74.76,"Not imported vehicle not recognised"
"10/03/2023 16:07",BN70RV,70.65,"Not imported vehicle not recognised"
"08/03/2023 11:40",BT22UEL,71.65,"Not imported vehicle not recognised"
"10/03/2023 15:07",CA22OKU,73.58,"Not imported vehicle not recognised"
"07/03/2023 14:40",CA22OKU,95.79,"Not imported vehicle not recognised"
"06/03/2023 08:30",CA22VKT,93.66,"Not imported vehicle not recognised"
"09/03/2023 10:42",CA22VTF,75.92,"Not imported vehicle not recognised"
"07/03/2023 07:52",CA22WCP,90.13,"Not imported vehicle not recognised"
"10/03/2023 13:48",CK70ERZ,50.38,"Not imported vehicle not recognised"
"06/03/2023 10:39",CK70ERZ,52.68,"Not imported vehicle not recognised"
"08/03/2023 16:43",CN69HTT,55.4,"Not imported vehicle not recognised"
"06/03/2023 06:58",CT68ORU,63.62,"Not imported vehicle not recognised"
"10/03/2023 08:15",DL21KFD,183.61,"Not imported vehicle not recognised"
"07/03/2023 11:59",DL21KFD,159.62,"Not imported vehicle not recognised"
"06/03/2023 08:07",DL22YKU,92.08,"Not imported vehicle not recognised"
"11/03/2023 09:38",DOI21JOJ,95.54,"Not imported vehicle not recognised"
"07/03/2023 11:16",DT19BSX,50.58,"Not imported vehicle not recognised"
"10/03/2023 09:25",EF72SMX,51.13,"Not imported vehicle not recognised"
"06/03/2023 08:52",FUELCAN,11.31,"Not imported vehicle not recognised"
"06/03/2023 08:31",HT2VBY,65.17,"Not imported vehicle not recognised"
"06/03/2023 08:07",HV72OKW,68.74,"Not imported vehicle not recognised"
"11/03/2023 15:15",M14MCB,35.23,"Not imported vehicle not recognised"
"11/03/2023 07:52",MS22XAC,71.39,"Not imported vehicle not recognised"
"12/03/2023 09:37",PL18UET,68.26,"Not imported vehicle not recognised"
"08/03/2023 12:20",SA70XVR,68.84,"Not imported vehicle not recognised"
"08/03/2023 10:19",SC67GYS,84.72,"Not imported vehicle not recognised"
"11/03/2023 13:25",SC68FVZ,65.37,"Not imported vehicle not recognised"
"09/03/2023 16:21",SG70PXJ,90.5,"Not imported vehicle not recognised"
"09/03/2023 10:07",SH72NSE,74.19,"Not imported vehicle not recognised"
"08/03/2023 11:35",SH72OJS,73.41,"Not imported vehicle not recognised"
"06/03/2023 12:03",SN22WZS,33.36,"Not imported vehicle not recognised"
"08/03/2023 11:35",WP70UAN,51.45,"Not imported vehicle not recognised"
"12/03/2023 14:07",X28KEV,62.5,"Not imported vehicle not recognised"
"09/03/2023 12:49",X28KEV,60.27,"Not imported vehicle not recognised"
"07/03/2023 08:17",X28KEV,70.46,"Not imported vehicle not recognised"
"07/03/2023 15:02",YP22CND,78.8,"Not imported vehicle not recognised"
"07/03/2023 10:11",YP22CNS,79.45,"Not imported vehicle not recognised"
"10/03/2023 07:00",YP72FBF,28.01,"Not imported vehicle not recognised"
"06/03/2023 17:46",YP72FBU,39.59,"Not imported vehicle not recognised"
"10/03/2023 11:10",YP72FBV,39.46,"Not imported vehicle not recognised"
"07/03/2023 11:42",YP72GBY,35,"Not imported vehicle not recognised"
"07/03/2023 11:35",YP72GGJ,36.75,"Not imported vehicle not recognised"
"06/03/2023 12:02",YP72GVN,25.46,"Not imported vehicle not recognised"
"06/03/2023 08:40",YP72GVV,36.82,"Not imported vehicle not recognised"
"09/03/2023 13:21",YR72RYK,39.04,"Not imported vehicle not recognised"
"06/03/2023 10:03",YR72RYK,34.79,"Not imported vehicle not recognised"
"12/03/2023 11:23",YR72RYM,38.11,"Not imported vehicle not recognised"
