"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"19/03/2023 10:14",DT19BSX,54.55,"Not imported vehicle not recognised"
"18/03/2023 15:23",SM22XAE,76.93,"Not imported vehicle not recognised"
"18/03/2023 14:19",MK21WJA,77,"Imported successfully"
"18/03/2023 11:52",HW20XLD,69.84,"Imported successfully"
"18/03/2023 11:01",BK22WVS,68.67,"Imported successfully"
"17/03/2023 19:59",WV70PMY,82.01,"Imported successfully"
"17/03/2023 16:55",M14MCV,33.94,"Not imported vehicle not recognised"
"17/03/2023 16:35",YP20ABO,79.68,"Not imported vehicle not recognised"
"17/03/2023 16:09",DT18HLG,53.56,"Not imported vehicle not recognised"
"17/03/2023 16:07",X28KEV,104,"Not imported vehicle not recognised"
"17/03/2023 15:50",DN21PLZ,59.73,"Imported successfully"
"17/03/2023 15:46",SG20OJJ,67.21,"Imported successfully"
"17/03/2023 14:08",BT22UDX,73.24,"Not imported vehicle not recognised"
"17/03/2023 13:45",WV70PNE,73.13,"Imported successfully"
"17/03/2023 13:33",BT70VVM,75.97,"Imported successfully"
"17/03/2023 13:15",HT71ZRO,73.7,"Imported successfully"
"17/03/2023 10:33",HV72OKW,73.66,"Not imported vehicle not recognised"
"17/03/2023 10:17",YP22CNV,77.76,"Imported successfully"
"17/03/2023 09:55",CA22WCP,82.11,"Not imported vehicle not recognised"
"17/03/2023 09:13",SG20OMD,70.08,"Imported successfully"
"17/03/2023 08:36",DL21NWR,78.68,"Imported successfully"
"17/03/2023 08:35",BK22HJD,79,"Not imported vehicle not recognised"
"17/03/2023 08:17",BG70EBA,59,"Imported successfully"
"17/03/2023 07:58",SG20OLP,63.48,"Imported successfully"
"17/03/2023 07:41",DT70JWB,90.62,"Not imported vehicle not recognised"
"17/03/2023 07:26",YR70USD,64.5,"Imported successfully"
"17/03/2023 06:31",YP72FBF,29.75,"Not imported vehicle not recognised"
"17/03/2023 06:27",BD20AKY,75.53,"Not imported vehicle not recognised"
"16/03/2023 19:51",MA70LKX,73.67,"Not imported vehicle not recognised"
"16/03/2023 19:33",YP72GVV,43.17,"Not imported vehicle not recognised"
"16/03/2023 17:43",YT22XJM,45.53,"Imported successfully"
"16/03/2023 17:40",WP70GOA,90.01,"Imported successfully"
"16/03/2023 16:57",WP70TZK,73.07,"Imported successfully"
"16/03/2023 16:46",WV70PKK,67.38,"Imported successfully"
"16/03/2023 16:22",BJ22FXO,64.43,"Imported successfully"
"16/03/2023 15:47",DK22WVW,71.68,"Not imported vehicle not recognised"
"16/03/2023 15:45",SM22XAC,67.37,"Not imported vehicle not recognised"
"16/03/2023 15:22",DL20KFD,123.59,"Not imported vehicle not recognised"
"16/03/2023 15:19",BN70RVT,69.8,"Imported successfully"
"16/03/2023 14:14",YT22XJU,48.68,"Imported successfully"
"16/03/2023 13:31",SH69XVB,51.04,"Imported successfully"
"16/03/2023 12:45",SB69EAF,51.5,"Imported successfully"
"16/03/2023 12:36",MA70LGZ,60.48,"Imported successfully"
"16/03/2023 12:26",YP72GVY,40.45,"Not imported vehicle not recognised"
"16/03/2023 12:18",SM22LJE,53.79,"Imported successfully"
