"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"05/03/2023 14:26",YP72FBG,43.02,"Not imported vehicle not recognised"
"05/03/2023 13:12",YR72RYM,29.75,"Not imported vehicle not recognised"
"05/03/2023 07:43",R90FMC,59.39,"Not imported vehicle not recognised"
"03/03/2023 16:21",SG70PXJ,71.76,"Not imported vehicle not recognised"
"03/03/2023 16:17",YP70GOA,88.11,"Not imported vehicle not recognised"
"03/03/2023 14:47",BT70DVM,79.87,"Not imported vehicle not recognised"
"03/03/2023 12:45",DL18UET,42.25,"Not imported vehicle not recognised"
"03/03/2023 10:36",DY70UES,53.26,"Not imported vehicle not recognised"
"03/03/2023 08:40",DL21KFD,96.76,"Not imported vehicle not recognised"
"03/03/2023 07:49",SC67GYS,69.89,"Not imported vehicle not recognised"
"03/03/2023 07:41",DP69YKN,70.54,"Not imported vehicle not recognised"
"03/03/2023 06:58",YP72FBF,28.01,"Not imported vehicle not recognised"
"02/03/2023 18:03",BK22WBC,55.88,"Not imported vehicle not recognised"
"02/03/2023 15:19",X28KEV,0.64,"Not imported vehicle not recognised"
"02/03/2023 15:19",X28KEV,90.5,"Not imported vehicle not recognised"
"02/03/2023 12:03",DT18HLG,51.3,"Not imported vehicle not recognised"
"02/03/2023 08:34",CA22VTF,76.62,"Not imported vehicle not recognised"
"02/03/2023 08:10",SM22LMW,71.05,"Not imported vehicle not recognised"
"02/03/2023 07:36",GY10KWG,128.51,"Not imported vehicle not recognised"
"01/03/2023 15:32",DN21PNV,76.69,"Not imported vehicle not recognised"
"01/03/2023 14:22",MK20UWT,61.64,"Not imported vehicle not recognised"
"01/03/2023 12:23",SM2LJF,46.47,"Not imported vehicle not recognised"
"01/03/2023 11:49",DT19BSX,52.78,"Not imported vehicle not recognised"
"01/03/2023 10:49",SA70XVR,68.48,"Not imported vehicle not recognised"
"01/03/2023 10:14",YR72RYK,33.88,"Not imported vehicle not recognised"
"01/03/2023 09:31",DL21KFD,107.22,"Not imported vehicle not recognised"
"01/03/2023 09:10",SG70PXJ,67.47,"Not imported vehicle not recognised"
"01/03/2023 09:10",SG70PXJ,14.19,"Not imported vehicle not recognised"
"01/03/2023 08:31",HW20XLB,74.05,"Not imported vehicle not recognised"
"28/02/2023 16:11",YP72FBV,39.38,"Not imported vehicle not recognised"
"28/02/2023 16:00",SM18HEV,73.33,"Not imported vehicle not recognised"
"28/02/2023 14:19",BG70VTW,76.42,"Not imported vehicle not recognised"
"28/02/2023 12:42",SH72OJS,38.04,"Not imported vehicle not recognised"
"28/02/2023 10:52",SC67GYS,81.56,"Not imported vehicle not recognised"
"28/02/2023 09:53",EF72SMX,51.41,"Not imported vehicle not recognised"
"28/02/2023 08:52",SH72NSE,85.85,"Not imported vehicle not recognised"
"28/02/2023 07:51",CA22WCP,72.46,"Not imported vehicle not recognised"
"28/02/2023 06:57",DK22WZE,45.26,"Not imported vehicle not recognised"
"27/02/2023 17:38",AJ72UHN,58.01,"Not imported vehicle not recognised"
"27/02/2023 17:33",YR72RYM,35.63,"Not imported vehicle not recognised"
"27/02/2023 17:27",M14MCV,32.99,"Not imported vehicle not recognised"
"27/02/2023 16:39",CT68ORU,68.9,"Not imported vehicle not recognised"
"27/02/2023 16:11",YP22GGJ,39.83,"Not imported vehicle not recognised"
"27/02/2023 13:08",CA22OKU,89.85,"Not imported vehicle not recognised"
"27/02/2023 11:27",CK70ERZ,53.62,"Not imported vehicle not recognised"
"27/02/2023 10:51",SG2OMD,73.3,"Not imported vehicle not recognised"
"27/02/2023 10:38",SC68FVZ,86.82,"Not imported vehicle not recognised"
"27/02/2023 08:26",BT22UEL,75.43,"Not imported vehicle not recognised"
"27/02/2023 08:25",CE22FZH,98.22,"Not imported vehicle not recognised"
