"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"16/03/2023 09:09",BT22UEL,70.08,"Not imported vehicle not recognised"
"14/03/2023 14:24",CA22OKU,76.96,"Not imported vehicle not recognised"
"15/03/2023 12:56",CA22VTF,53.66,"Not imported vehicle not recognised"
"17/03/2023 09:55",CA22WCP,82.11,"Not imported vehicle not recognised"
"13/03/2023 08:37",CA22WCP,77.78,"Not imported vehicle not recognised"
"16/03/2023 12:05",CK70ERZ,45.59,"Not imported vehicle not recognised"
"16/03/2023 15:47",DK22WVW,71.68,"Not imported vehicle not recognised"
"16/03/2023 15:22",DL20KFD,123.59,"Not imported vehicle not recognised"
"14/03/2023 11:26",DL21KFD,132.67,"Not imported vehicle not recognised"
"13/03/2023 16:08",DL22YKU,81.9,"Not imported vehicle not recognised"
"16/03/2023 11:25",DN21PNV,83.76,"Not imported vehicle not recognised"
"17/03/2023 16:09",DT18HLG,53.56,"Not imported vehicle not recognised"
"19/03/2023 10:14",DT19BSX,54.55,"Not imported vehicle not recognised"
"13/03/2023 13:16",DT19BSX,51.43,"Not imported vehicle not recognised"
"17/03/2023 07:41",DT70JWB,90.62,"Not imported vehicle not recognised"
"15/03/2023 07:45",EK22WVC,60.74,"Not imported vehicle not recognised"
"13/03/2023 12:16",HT71RZO,67.49,"Not imported vehicle not recognised"
"17/03/2023 10:33",HV72OKW,73.66,"Not imported vehicle not recognised"
"13/03/2023 11:42",LG12LSE,89.12,"Not imported vehicle not recognised"
"17/03/2023 16:55",M14MCV,33.94,"Not imported vehicle not recognised"
"15/03/2023 15:07",MA70LC0,55.6,"Not imported vehicle not recognised"
"16/03/2023 19:51",MA70LKX,73.67,"Not imported vehicle not recognised"
"15/03/2023 14:20",SA70XVR,62.94,"Not imported vehicle not recognised"
"13/03/2023 12:13",SB22LCJ,41.14,"Not imported vehicle not recognised"
"15/03/2023 15:27",SG70PXJ,79.83,"Not imported vehicle not recognised"
"13/03/2023 08:53",SH20OJJ,82.99,"Not imported vehicle not recognised"
"16/03/2023 11:24",SH72NSE,72.52,"Not imported vehicle not recognised"
"16/03/2023 07:55",SH72OJS,73.78,"Not imported vehicle not recognised"
"15/03/2023 11:36",SM22XEE,71.87,"Not imported vehicle not recognised"
"16/03/2023 07:19",VY70UES,57.05,"Not imported vehicle not recognised"
"15/03/2023 14:25",WP70JGF,73.41,"Not imported vehicle not recognised"
"15/03/2023 14:14",WP70TYS,73.99,"Not imported vehicle not recognised"
"17/03/2023 16:07",X28KEV,104,"Not imported vehicle not recognised"
"17/03/2023 16:35",YP20ABO,79.68,"Not imported vehicle not recognised"
"17/03/2023 06:31",YP72FBF,29.75,"Not imported vehicle not recognised"
"14/03/2023 08:17",YP72FBG,42.08,"Not imported vehicle not recognised"
"16/03/2023 10:46",YP72FBU,38.89,"Not imported vehicle not recognised"
"16/03/2023 11:54",YP72GGJ,42,"Not imported vehicle not recognised"
"16/03/2023 19:33",YP72GVV,43.17,"Not imported vehicle not recognised"
"16/03/2023 12:26",YP72GVY,40.45,"Not imported vehicle not recognised"
"13/03/2023 07:31",YP72GVY,41.45,"Not imported vehicle not recognised"
"13/03/2023 09:24",YP72HLH,40.88,"Not imported vehicle not recognised"
"16/03/2023 11:42",YR72RYK,40.05,"Not imported vehicle not recognised"
"13/03/2023 11:19",YR72RYK,26.69,"Not imported vehicle not recognised"
