Vehicle_Registration,VehicleType,Manufacturer,Profit_Centre
DL70KZW,Small,Vauxhall,700
DL70LHG,Small,Vauxhall,405
DL70LHK,Small,Vauxhall,400
DS69RYW,Small,Vauxhall,700
DT70NHC,Small,Vauxhall,400
DV22DDE,Medium,Vauxhall,800
DY21OZD,Small,Vauxhall,400
ML20ENF,Small,Peugeot,400
ML20VLT,Small,Peugeot,400
ML69MXS,Small,Peugeot,700
ML69NRN,Small,Peugeot,700
ML69OJR,Small,Peugeot,405
MT69WWK,Small,Peugeot,405
MT69XDH,Small,Peugeot,400
RRZ9030,Small,Citroen,440
XGZ8723,Small,Vauxhall,440
YD70EHP,4x4,Toyota,600
