"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"17/02/2023 12:14",AJ72UHN,54.81,"Not imported vehicle not recognised"
"16/02/2023 15:24",B70VTN,78.83,"Not imported vehicle not recognised"
"15/02/2023 14:39",BB20AKY,84.38,"Not imported vehicle not recognised"
"15/02/2023 06:57",BK2HJV,30.11,"Not imported vehicle not recognised"
"16/02/2023 08:15",BT22UEL,71.49,"Not imported vehicle not recognised"
"18/02/2023 08:29",BT70VV,77.45,"Not imported vehicle not recognised"
"19/02/2023 18:26",CA220KU,91.93,"Not imported vehicle not recognised"
"13/02/2023 14:49",CA22OKU,85.07,"Not imported vehicle not recognised"
"15/02/2023 07:51",CA22VKT,86.72,"Not imported vehicle not recognised"
"13/02/2023 08:27",CA22WCP,89.19,"Not imported vehicle not recognised"
"16/02/2023 15:33",CB68FZT,67.2,"Not imported vehicle not recognised"
"14/02/2023 08:22",CE68DDL,121.05,"Not imported vehicle not recognised"
"15/02/2023 17:47",CJ7DHK,93.49,"Not imported vehicle not recognised"
"14/02/2023 14:15",CT68ORU,76.9,"Not imported vehicle not recognised"
"16/02/2023 08:12",DL21KFD,111.37,"Not imported vehicle not recognised"
"17/02/2023 08:09",DL22YKU,87.06,"Not imported vehicle not recognised"
"15/02/2023 09:31",DN21PNV,82.71,"Not imported vehicle not recognised"
"17/02/2023 12:27",DT18HLG,59.19,"Not imported vehicle not recognised"
"18/02/2023 12:21",DT19BSX,50.59,"Not imported vehicle not recognised"
"13/02/2023 13:30",DT19SX,37.18,"Not imported vehicle not recognised"
"15/02/2023 22:05",DV22SN,156.67,"Not imported vehicle not recognised"
"16/02/2023 09:11",EF72SMX,48.51,"Not imported vehicle not recognised"
"16/02/2023 10:21",EN70RLU,77.23,"Not imported vehicle not recognised"
"17/02/2023 15:17",HV72OKW,73.2,"Not imported vehicle not recognised"
"15/02/2023 07:55",HW20XLV,75.2,"Not imported vehicle not recognised"
"15/02/2023 11:28",KM69YJK,81.65,"Not imported vehicle not recognised"
"18/02/2023 13:36",MA70LC0,73.57,"Not imported vehicle not recognised"
"13/02/2023 10:51",MA70LC0,79.61,"Not imported vehicle not recognised"
"15/02/2023 07:54",MA7LGZ,58.12,"Not imported vehicle not recognised"
"16/02/2023 18:51",PL18UET,65.9,"Not imported vehicle not recognised"
"16/02/2023 18:36",SB22LCJ,43.31,"Not imported vehicle not recognised"
"13/02/2023 08:05",SC67GYS,76.61,"Not imported vehicle not recognised"
"17/02/2023 08:10",SC67ZYS,71.83,"Not imported vehicle not recognised"
"14/02/2023 16:05",SC68FVZ,83.16,"Not imported vehicle not recognised"
"16/02/2023 07:42",SG200JJ,48.77,"Not imported vehicle not recognised"
"16/02/2023 09:26",SG70PXJ,78.52,"Not imported vehicle not recognised"
"14/02/2023 10:36",SM18HEV,67,"Not imported vehicle not recognised"
"14/02/2023 07:17",SM64AKO,30.21,"Not imported vehicle not recognised"
"15/02/2023 18:35",X28KEV,102.9,"Not imported vehicle not recognised"
"17/02/2023 11:39",YP20A00,67.47,"Not imported vehicle not recognised"
"16/02/2023 17:51",YP72FBF,41.13,"Not imported vehicle not recognised"
"17/02/2023 13:29",YP72FBG,45.81,"Not imported vehicle not recognised"
"17/02/2023 13:27",YP72FBV,35.01,"Not imported vehicle not recognised"
"17/02/2023 08:09",YP72GGJ,38.11,"Not imported vehicle not recognised"
"13/02/2023 10:00",YP72GVV,68.78,"Not imported vehicle not recognised"
"14/02/2023 14:01",YP72GVY,37.47,"Not imported vehicle not recognised"
"14/02/2023 13:35",YP72HLH,34.36,"Not imported vehicle not recognised"
"14/02/2023 09:43",YR72RYK,22.3,"Not imported vehicle not recognised"
"13/02/2023 17:34",YR72RYM,41.23,"Not imported vehicle not recognised"
