"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"19/02/2023 18:59",BK22WVN,73.45,"Imported successfully"
"19/02/2023 18:26",CA220KU,91.93,"Not imported vehicle not recognised"
"19/02/2023 16:24",SB69EAF,45.72,"Imported successfully"
"19/02/2023 12:28",MA70LKF,62.74,"Imported successfully"
"19/02/2023 08:03",BT70VVH,34.22,"Imported successfully"
"18/02/2023 13:36",MA70LC0,73.57,"Not imported vehicle not recognised"
"18/02/2023 12:21",DT19BSX,50.59,"Not imported vehicle not recognised"
"18/02/2023 12:20",HT22VBY,17.24,"Imported successfully"
"18/02/2023 12:17",HT22VBY,63.86,"Imported successfully"
"18/02/2023 08:29",BT70VV,77.45,"Not imported vehicle not recognised"
"18/02/2023 07:41",HT71ZRO,70.26,"Imported successfully"
"17/02/2023 19:15",WV70PMY,53.39,"Imported successfully"
"17/02/2023 16:57",CN21DVB,30.68,"Imported successfully"
"17/02/2023 16:26",WP70GOA,88.63,"Imported successfully"
"17/02/2023 16:16",DN21PLZ,60.06,"Imported successfully"
"17/02/2023 15:53",BJ22FXO,63.3,"Imported successfully"
"17/02/2023 15:31",YJ19CPD,60.77,"Imported successfully"
"17/02/2023 15:26",WN70BEO,67.73,"Imported successfully"
"17/02/2023 15:17",HV72OKW,73.2,"Not imported vehicle not recognised"
"17/02/2023 14:23",BT71OFL,73.52,"Imported successfully"
"17/02/2023 13:29",YP72FBG,45.81,"Not imported vehicle not recognised"
"17/02/2023 13:27",YP72FBV,35.01,"Not imported vehicle not recognised"
"17/02/2023 13:26",SG20OLP,45.56,"Imported successfully"
"17/02/2023 13:19",WP70LGF,68.7,"Imported successfully"
"17/02/2023 13:00",DL21NVD,73.2,"Imported successfully"
"17/02/2023 12:27",DT18HLG,59.19,"Not imported vehicle not recognised"
"17/02/2023 12:14",AJ72UHN,54.81,"Not imported vehicle not recognised"
"17/02/2023 12:08",WV70PKK,67.88,"Imported successfully"
"17/02/2023 11:54",SM22XAE,70.55,"Imported successfully"
"17/02/2023 11:39",YP20A00,67.47,"Not imported vehicle not recognised"
"17/02/2023 10:59",WV70PNE,63.71,"Imported successfully"
"17/02/2023 10:57",DV69CEX,51.01,"Imported successfully"
"17/02/2023 10:49",BN70RVX,80.47,"Imported successfully"
"17/02/2023 09:38",SM22LHW,43.8,"Imported successfully"
"17/02/2023 09:22",MA70LGZ,42.98,"Imported successfully"
"17/02/2023 08:55",DY22RKZ,41.56,"Imported successfully"
"17/02/2023 08:45",YP22COH,85.92,"Imported successfully"
"17/02/2023 08:10",SC67ZYS,71.83,"Not imported vehicle not recognised"
"17/02/2023 08:09",YP72GGJ,38.11,"Not imported vehicle not recognised"
"17/02/2023 08:09",DL22YKU,87.06,"Not imported vehicle not recognised"
"17/02/2023 08:07",SM22XAC,62.77,"Imported successfully"
"17/02/2023 08:06",YT22XJN,47.97,"Imported successfully"
"17/02/2023 08:02",BK22HJD,71.64,"Imported successfully"
"17/02/2023 07:56",BG70EBA,55.52,"Imported successfully"
"16/02/2023 19:45",YT22XJO,54.32,"Imported successfully"
"16/02/2023 18:51",PL18UET,65.9,"Not imported vehicle not recognised"
"16/02/2023 18:36",SB22LCJ,43.31,"Not imported vehicle not recognised"
