"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"10/03/2023 12:21",AJ72UHN,55.54,"Not imported vehicle not recognised"
"10/03/2023 06:48",BD2AKY,74.76,"Not imported vehicle not recognised"
"08/03/2023 10:58",BG22LBF,72.11,"Imported successfully"
"08/03/2023 13:58",BG70EBA,64.27,"Imported successfully"
"06/03/2023 13:59",BG70EBA,44.7,"Imported successfully"
"09/03/2023 16:12",BJ22FXO,62.67,"Imported successfully"
"07/03/2023 16:27",BJ22FXO,64.41,"Imported successfully"
"10/03/2023 08:39",BJ70YKG,85.99,"Imported successfully"
"06/03/2023 08:50",BJ70YKG,49.56,"Imported successfully"
"08/03/2023 18:00",BK22HJD,70.98,"Imported successfully"
"07/03/2023 06:50",BK22HJD,64.94,"Imported successfully"
"07/03/2023 07:42",BK22WVC,61.55,"Imported successfully"
"10/03/2023 08:50",BK22WVN,72.1,"Imported successfully"
"07/03/2023 07:12",BK22WVS,71.11,"Imported successfully"
"08/03/2023 16:06",BK22WVW,69.89,"Imported successfully"
"07/03/2023 06:46",BK22WZE,40.52,"Imported successfully"
"07/03/2023 09:16",BN70RLU,78.51,"Imported successfully"
"10/03/2023 16:07",BN70RV,70.65,"Not imported vehicle not recognised"
"09/03/2023 09:25",BN70RVT,23.16,"Imported successfully"
"10/03/2023 12:01",BN70RVX,72.59,"Imported successfully"
"06/03/2023 07:15",BN70RVX,73.23,"Imported successfully"
"08/03/2023 12:14",BN70XKS,76.77,"Imported successfully"
"10/03/2023 10:29",BT22UDX,77.12,"Imported successfully"
"08/03/2023 11:40",BT22UEL,71.65,"Not imported vehicle not recognised"
"08/03/2023 06:24",BT70VTW,63.84,"Imported successfully"
"06/03/2023 18:55",BT70VTW,76.62,"Imported successfully"
"09/03/2023 08:27",BT70VVH,79.54,"Imported successfully"
"06/03/2023 06:56",BT70VVH,74.13,"Imported successfully"
"09/03/2023 15:39",BT70VVM,79.58,"Imported successfully"
"08/03/2023 07:30",BT71OKK,75.13,"Imported successfully"
"10/03/2023 15:07",CA22OKU,73.58,"Not imported vehicle not recognised"
"07/03/2023 14:40",CA22OKU,95.79,"Not imported vehicle not recognised"
"06/03/2023 08:30",CA22VKT,93.66,"Not imported vehicle not recognised"
"09/03/2023 10:42",CA22VTF,75.92,"Not imported vehicle not recognised"
"07/03/2023 07:52",CA22WCP,90.13,"Not imported vehicle not recognised"
"10/03/2023 16:59",CJ71DHK,98.65,"Imported successfully"
"10/03/2023 13:48",CK70ERZ,50.38,"Not imported vehicle not recognised"
"06/03/2023 10:39",CK70ERZ,52.68,"Not imported vehicle not recognised"
"08/03/2023 09:16",CK70VFA,72.55,"Imported successfully"
"08/03/2023 13:17",CN21DVB,51.74,"Imported successfully"
"08/03/2023 16:43",CN69HTT,55.4,"Not imported vehicle not recognised"
"06/03/2023 06:58",CT68ORU,63.62,"Not imported vehicle not recognised"
"08/03/2023 18:04",CV18SXL,78.42,"Imported successfully"
"10/03/2023 08:15",DL21KFD,183.61,"Not imported vehicle not recognised"
"07/03/2023 11:59",DL21KFD,159.62,"Not imported vehicle not recognised"
"07/03/2023 11:36",DL21NPX,65.53,"Imported successfully"
"10/03/2023 10:27",DL21NVD,61.55,"Imported successfully"
"06/03/2023 09:57",DL21NWR,60.47,"Imported successfully"
"06/03/2023 08:07",DL22YKU,92.08,"Not imported vehicle not recognised"
"10/03/2023 16:04",DN21PLZ,48.72,"Imported successfully"
"06/03/2023 08:25",DN21PLZ,60,"Imported successfully"
"11/03/2023 09:38",DOI21JOJ,95.54,"Not imported vehicle not recognised"
"10/03/2023 07:51",DP69YKM,78.32,"Imported successfully"
"07/03/2023 11:16",DT19BSX,50.58,"Not imported vehicle not recognised"
"10/03/2023 17:24",DY22RKZ,58.01,"Imported successfully"
"10/03/2023 13:30",DY22WTN,60.69,"Imported successfully"
"10/03/2023 09:25",EF72SMX,51.13,"Not imported vehicle not recognised"
"07/03/2023 08:30",FN19JLO,269.86,"Imported successfully"
"10/03/2023 08:01",FN67VYP,124.4,"Imported successfully"
"08/03/2023 09:05",FN67VYP,124.4,"Imported successfully"
"06/03/2023 08:52",FUELCAN,11.31,"Not imported vehicle not recognised"
"06/03/2023 12:04",GJ21LHO,78.22,"Imported successfully"
"06/03/2023 12:04",GL70BJV,72.38,"Imported successfully"
"07/03/2023 19:15",HT22VBY,67.35,"Imported successfully"
"06/03/2023 08:29",HT22YDO,74.33,"Imported successfully"
"06/03/2023 08:31",HT2VBY,65.17,"Not imported vehicle not recognised"
"08/03/2023 18:34",HV70CVA,70.51,"Imported successfully"
"08/03/2023 16:47",HV70DVN,77.05,"Imported successfully"
"06/03/2023 08:07",HV72OKW,68.74,"Not imported vehicle not recognised"
"07/03/2023 12:27",HW20XLD,79.57,"Imported successfully"
"11/03/2023 15:15",M14MCB,35.23,"Not imported vehicle not recognised"
"09/03/2023 10:00",MA70LCO,73.2,"Imported successfully"
"08/03/2023 07:49",MA70LGZ,60.23,"Imported successfully"
"09/03/2023 06:30",MA70LKF,64.79,"Imported successfully"
"07/03/2023 06:14",MA70LKF,51.13,"Imported successfully"
"11/03/2023 07:52",MS22XAC,71.39,"Not imported vehicle not recognised"
"12/03/2023 09:37",PL18UET,68.26,"Not imported vehicle not recognised"
"08/03/2023 12:20",SA70XVR,68.84,"Not imported vehicle not recognised"
"09/03/2023 10:21",SB66YJD,87.03,"Imported successfully"
"08/03/2023 17:23",SB69BBO,53.58,"Imported successfully"
