tripid,tripmode,objectno,objectname,start_time,start_odometer,start_postext,end_time,end_odometer,end_postext,duration,idle_time,distance,avg_speed,max_speed,fuel_usage,start_longitude,start_latitude,start_formatted_longitude,start_formatted_latitude,end_longitude,end_latitude,end_formatted_longitude,end_formatted_latitude,co2,fueltype,ep_distance,objectuid,optidrive_indicator,speeding_indicator,drivingevents_indicator,idling_indicator,fuelusage_indicator,coasting_indicator,constant_speed_indicator,green_speed_indicator,high_revving_indicator
9959947429,2,##KX65MVW,MIHS - PET,24/02/2022 17:46:11,62083840,"Dodson Way, Peterborough PE1 5XJ, GB",24/02/2022 20:44:57,62225380,"Dodson Way, Peterborough PE1 5XJ, GB",10726,1589,141540,55,91,47.685,-205545,52573316,"0°12'19.9"" W","52°34'23.9"" N",-205472,52573328,"0°12'19.7"" W","52°34'23.9"" N",126365,1,141540,1-44036-3233315320,0.725,1,0.251,1,1,0.202,0.88,1,0.743
9959023705,2,##KX65MVW,MIHS - PET,24/02/2022 14:29:40,62083420,"Dodson Way, Peterborough PE1 5XJ, GB",24/02/2022 14:50:31,62083840,"Dodson Way, Peterborough PE1 5XJ, GB",1251,1117,420,3,16,1.112,-205528,52573334,"0°12'19.9"" W","52°34'24.0"" N",-205514,52573301,"0°12'19.8"" W","52°34'23.8"" N",2946,1,420,1-44036-3233315320,0.756,1,0.294,0,1,1,1,1,1
9952584686,2,##KX65MVW,MIHS - PET,22/02/2022 18:46:47,61942205,"Dodson Way, Peterborough PE1 5XJ, GB",22/02/2022 21:29:40,62083420,"Dodson Way, Peterborough PE1 5XJ, GB",9773,760,141215,56,91,46.253,-205441,52573568,"0°12'19.5"" W","52°34'24.8"" N",-205501,52573306,"0°12'19.8"" W","52°34'23.9"" N",122570,1,141215,1-44036-3233315320,0.713,1,0.23,1,1,0.114,0.88,1,0.768
9951723011,2,##KX65MVW,MIHS - PET,22/02/2022 14:11:24,61941760,"Dodson Way, Peterborough PE1 5XJ, GB",22/02/2022 15:17:37,61942205,"Dodson Way, Peterborough PE1 5XJ, GB",3973,3928,445,3,14,2.168,-205492,52573514,"0°12'19.7"" W","52°34'24.6"" N",-205488,52573552,"0°12'19.7"" W","52°34'24.7"" N",5745,1,445,1-44036-3233315320,0.751,1,0.256,0,1,1,1,1,1
9959958776,2,##KX65MVY,MIHS - PET,24/02/2022 17:19:20,64795915,"Dodson Way, Peterborough PE1 5XJ, GB",24/02/2022 20:55:15,64938775,"Dodson Way, Peterborough PE1 5XJ, GB",12955,2907,142860,51,91,51.939,-205545,52573264,"0°12'19.9"" W","52°34'23.7"" N",-205426,52573670,"0°12'19.5"" W","52°34'25.2"" N",137638,1,142860,1-44036-8809051140,0.536,0.656,0.302,0.105,1,0.092,0.824,1,0.776
9959054685,2,##KX65MVY,MIHS - PET,24/02/2022 14:37:33,64795585,"Dodson Way, Peterborough PE1 5XJ, GB",24/02/2022 14:57:47,64795915,"Dodson Way, Peterborough PE1 5XJ, GB",1214,1147,330,5,13,1.107,-205263,52573613,"0°12'18.9"" W","52°34'25.0"" N",-205552,52573278,"0°12'19.9"" W","52°34'23.8"" N",2933,1,330,1-44036-8809051140,0.812,1,1,0,1,1,1,1,0.684
9952594420,2,##KX65MVY,MIHS - PET,22/02/2022 18:48:30,64654865,"Dodson Way, Peterborough PE1 5XJ, GB",22/02/2022 21:40:16,64795585,"Dodson Way, Peterborough PE1 5XJ, GB",10306,559,140720,52,91,51.053,-205467,52573628,"0°12'19.6"" W","52°34'25.0"" N",-205423,52573629,"0°12'19.5"" W","52°34'25.0"" N",135290,1,140720,1-44036-8809051140,0.716,1,0.289,1,1,0.108,0.82,1,0.794
9951552719,2,##KX65MVY,MIHS - PET,22/02/2022 14:31:34,64654665,"Dodson Way, Peterborough PE1 5XJ, GB",22/02/2022 14:37:25,64654865,"Dodson Way, Peterborough PE1 5XJ, GB",351,296,200,7,16,0.417,-205421,52573599,"0°12'19.5"" W","52°34'24.9"" N",-206103,52574275,"0°12'21.9"" W","52°34'27.3"" N",1105,1,200,1-44036-8809051140,0.934,1,1,1,1,1,1,1,0.54
9959869446,2,##WF65EXC,MIHS - PET,24/02/2022 18:56:25,31495215,"823 Lincoln Road, Peterborough PE1 3HE, GB",24/02/2022 19:42:20,31509560,"Dodson Way, Peterborough PE1 5XJ, GB",2755,587,14345,21,68,4.875,-259490,52595626,"0°15'34.1"" W","52°35'44.2"" N",-205743,52573319,"0°12'20.6"" W","52°34'23.9"" N",12918,1,14345,1-44036-299896634E,0.683,1,0.26,1,1,0.278,0.5,1,0.745
9959790779,2,##WF65EXC,MIHS - PET,24/02/2022 18:50:33,31494540,"Maskew Avenue, Peterborough PE1 2AS, GB",24/02/2022 18:52:34,31495215,"823 Lincoln Road, Peterborough PE1 3HE, GB",121,47,675,29,42,0.219,-255560,52590967,"0°15'20.0"" W","52°35'27.4"" N",-259451,52595632,"0°15'34.0"" W","52°35'44.2"" N",580,1,675,1-44036-299896634E,0.797,1,1,1,1,1,0.1,1,0.48
9959776333,2,##WF65EXC,MIHS - PET,24/02/2022 18:21:16,31483285,"59 Helpston Road, Peterborough PE6 7JZ, GB",24/02/2022 18:44:33,31494540,"Maskew Avenue, Peterborough PE1 2AS, GB",1397,277,11255,34,87,3.594,-306430,52637891,"0°18'23.1"" W","52°38'16.4"" N",-255614,52590953,"0°15'20.2"" W","52°35'27.4"" N",9524,1,11255,1-44036-299896634E,0.629,1,0.426,1,1,0,0.348,1,0.631
9959713895,2,##WF65EXC,MIHS - PET,24/02/2022 16:56:37,31460235,"Dodson Way, Peterborough PE1 5XJ, GB",24/02/2022 18:12:46,31483285,"59 Helpston Road, Peterborough PE6 7JZ, GB",4569,2280,23050,35,91,7.625,-205820,52573306,"0°12'20.9"" W","52°34'23.9"" N",-306464,52637901,"0°18'23.2"" W","52°38'16.4"" N",20206,1,23050,1-44036-299896634E,0.57,1,0.321,0.046,1,0.22,0.804,1,0.599
